avain-          {'COMP:uR', 'COMP:P', '-SPEC:T/fin', 'PHON', 'PF:avain', '-COMP:VA/inf', '-COMP:WH', '-COMP:D', '-COMP:φ', 'COMP:R', '-COMP:C/fin', '-COMP:T/prt', '-COMP:T/fin', 'COMP:C', '-COMP:V', '-SPEC:R', 'COMP:D/rel', '-SPEC:ADV', 'SPEC:A', 'LANG:FI', 'N', '-COMP:AUX', '-SPEC:P', '-SPEC:V', '-SEM:directional', '-SPEC:uWH', '-COMP:v', '-SPEC:N', 'COMP:R/D', 'LF:key', 'COMP:T/prt', '-COMP:N', '-SPEC:C/fin', '-COMP:A', '-SPEC:FORCE'}
auton           {'PHON', 'LANG:FI'}
auto            {'PHON', 'LANG:FI'}
auto-           {'COMP:uR', 'COMP:P', '-SPEC:T/fin', 'PHON', '-COMP:VA/inf', '-COMP:WH', '-COMP:D', '-COMP:φ', 'COMP:R', 'LF:car', '-COMP:C/fin', '-COMP:T/prt', '-COMP:T/fin', 'COMP:C', '-COMP:V', '-SPEC:R', 'COMP:D/rel', '-SPEC:ADV', 'PF:auto', 'SPEC:A', 'LANG:FI', 'N', '-COMP:AUX', '-SPEC:P', '-SPEC:V', '-SEM:directional', '-SPEC:uWH', '-COMP:v', '-SPEC:N', 'COMP:R/D', 'COMP:T/prt', '-COMP:N', '-SPEC:C/fin', '-COMP:A', '-SPEC:FORCE'}
bank            {'COMP:uR', 'COMP:P', 'FREQ:1', '-SPEC:T/fin', 'PHON', '-COMP:VA/inf', '-COMP:WH', '-COMP:D', '-COMP:φ', 'COMP:R', '-COMP:C/fin', 'PF:bank1', '-COMP:T/fin', 'COMP:C', '-COMP:V', '-SPEC:R', 'COMP:D/rel', '-SPEC:ADV', 'LF:bank_inst', 'LANG:EN', 'SPEC:A', 'N', '-COMP:AUX', '-SPEC:P', '-SPEC:V', '-SPEC:uWH', '-COMP:v', '-SPEC:N', 'COMP:R/D', 'COMP:T/prt', '-COMP:N', '-SPEC:C/fin', '-COMP:A', '-SPEC:FORCE'}
bank            {'COMP:uR', 'COMP:P', '-SPEC:T/fin', 'PHON', '-COMP:VA/inf', '-COMP:WH', '-COMP:D', '-COMP:φ', 'COMP:R', '-COMP:C/fin', '-COMP:T/fin', 'COMP:C', '-COMP:V', '-SPEC:R', 'COMP:D/rel', '-SPEC:ADV', 'FREQ:2', 'LANG:EN', 'SPEC:A', 'PF:bank2', 'N', '-COMP:AUX', '-SPEC:P', '-SPEC:V', '-SPEC:uWH', 'LF:bank_river', '-COMP:v', '-SPEC:N', 'COMP:R/D', 'COMP:T/prt', '-COMP:N', '-SPEC:C/fin', '-COMP:A', '-SPEC:FORCE'}
barn            {'COMP:uR', 'COMP:P', '-SPEC:T/fin', '-COMP:A', 'PHON', '-COMP:VA/inf', '-COMP:WH', '-COMP:D', '-COMP:φ', 'COMP:R', '-COMP:C/fin', '-COMP:T/fin', 'COMP:C', '-COMP:V', '-SPEC:R', 'COMP:D/rel', '-SPEC:ADV', 'LANG:EN', 'SPEC:A', 'N', '-COMP:AUX', '-SPEC:P', '-SPEC:V', '-SPEC:uWH', '-COMP:v', '-SPEC:N', 'COMP:R/D', 'COMP:T/prt', 'PF:barn', '-COMP:N', '-SPEC:C/fin', 'LF:barn', '-SPEC:FORCE'}
Bill            {'PHON', 'LANG:EN'}
Bill-           {'COMP:uR', 'COMP:P', '-SPEC:T/fin', 'PHON', 'LF:Bill', '-COMP:VA/inf', '-COMP:WH', '-COMP:D', '-COMP:φ', 'COMP:R', '-COMP:C/fin', '-COMP:T/fin', 'COMP:C', '-COMP:INF', 'R:REF:PROPER_NAME', '-COMP:V', '-SPEC:R', 'COMP:D/rel', '-SPEC:ADV', 'LANG:EN', 'SPEC:A', 'N', '-COMP:AUX', '-SPEC:P', '-SPEC:V', '-SEM:directional', '-SPEC:uWH', '-COMP:v', '-SPEC:N', '-adjoinable', 'COMP:R/D', 'COMP:T/prt', '-COMP:N', 'PF:Bill', '-SPEC:C/fin', '-COMP:A', '-SPEC:FORCE'}
city            {'COMP:uR', 'COMP:P', '-SPEC:T/fin', 'PHON', '-COMP:VA/inf', '-COMP:WH', '-COMP:D', '-COMP:φ', 'COMP:R', '-COMP:C/fin', '-COMP:T/fin', 'COMP:C', '-COMP:V', '-SPEC:R', 'PF:city', 'COMP:D/rel', '-SPEC:ADV', 'LANG:EN', 'SPEC:A', 'N', '-COMP:AUX', '-SPEC:P', '-SPEC:V', '-SPEC:uWH', '-COMP:v', '-SPEC:N', 'LF:city', 'COMP:R/D', 'COMP:T/prt', '-COMP:N', '-SPEC:C/fin', '-COMP:A', '-SPEC:FORCE'}
