@  {'author': 'Pauli Brattico', 'year': 2021, 'date': 'December', 'study_id': 1, 'study_folder': 'language data working directory/study-10-binding-theory', 'lexicon_folder': 'language data working directory/lexicons', 'test_corpus_folder': 'language data working directory/study-10-binding-theory', 'test_corpus_file': 'binding_theory_corpus.txt', 'only_first_solution': False, 'logging': True, 'ignore_ungrammatical_sentences': False, 'console_output': 'Full', 'datatake_resources': True, 'datatake_resource_sequence': False, 'datatake_timings': False, 'datatake_images': True, 'image_parameter_stop_after_each_image': False, 'image_parameter_show_words': False, 'image_parameter_nolabels': False, 'image_parameter_spellout': False, 'image_parameter_case': False, 'image_parameter_show_sentences': False, 'image_parameter_show_glosses': False, 'extra_ranking': True, 'filter': True, 'lexical_anticipation': True, 'closure': 'Bottom-up', 'working_memory': True, 'positive_spec_selection': 100, 'negative_spec_selection': -100, 'break_head_comp_relations': -100, 'negative_tail_test': -100, 'positive_head_comp_selection': 100, 'negative_head_comp_selection': -100, 'negative_semantics_match': -100, 'lf_legibility_condition': -100, 'negative_adverbial_test': -100, 'positive_adverbial_test': 100}
@  2021-12-28 11:30:15.842934
@  Test sentences from language data working directory\study-10-binding-theory\binding_theory_corpus.txt.
@  Logs into language data working directory\study-10-binding-theory\binding_theory_corpus_log.txt.
@  Lexicon from language data working directory\lexicons\lexicon.txt.
@  Redundancy rules from language data working directory\lexicons\redundancy_rules.txt.
@  Universal morphemes from language data working directory\lexicons\ug_morphemes.txt.
@ 
@ 
Number,Sentence,Study_ID,Total Time,Garden Paths,Memory Reactivation,Steps,Merge,Move Head,Move Phrase,A-Move Phrase,A-bar Move Phrase,Move Adjunct,Agree,Phi,Transfer,Item streamed into syntax,Feature Processing,Extraposition,Inflection,Failed Transfer,LF recovery,LF test,Filter solution,Rank solution,Lexical retrieval,Morphological decomposition,Mean time per word,Asymmetric Merge,Sink,External Tail Test,Execution time (ms)	
101,John said that he admires him ,1,,2165,0,0,59,11,9,10,10,0,0,13,18,14,12,0,0,20,21,5,25,16,6,32,5,360,306,39,16,109
102,he said that he admires him ,1,,2125,0,0,59,11,9,10,10,0,0,13,18,14,12,0,0,20,21,5,25,16,6,32,5,354,306,39,16,109
103,he said that John admires Mary ,1,,2115,0,0,59,11,9,10,10,0,0,13,18,14,12,0,0,18,21,5,25,16,6,30,5,352,310,39,41,93
104,Pekka sanoo että Merja ihailee Jukkaa ,1,,3300,0,0,91,11,9,11,0,0,11,14,19,68,12,0,0,22,19,5,80,15,8,34,5,550,733,63,924,156
105,Pekka sanoo että Merja ihailee häntä ,1,,3170,0,0,91,11,9,11,0,0,11,14,19,68,12,0,0,21,19,5,80,15,8,33,5,528,733,63,924,171
106,Pekka sanoo että hän ihailee Jukkaa ,1,,3160,0,0,91,11,9,11,0,0,11,14,19,68,12,0,0,21,19,5,80,15,8,33,5,526,733,63,924,156
107,Pekka sanoo että hän ihailee häntä ,1,,3030,0,0,91,11,9,11,0,0,11,14,19,68,12,0,0,20,19,5,80,15,8,32,5,505,733,63,924,171
108,John wants Mary to_inf admire' him ,1,,2270,0,0,88,11,19,11,11,0,0,10,16,19,12,5,2,19,12,6,26,13,6,31,5,378,475,56,89,125
109,Mary wants John to_inf admire' her ,1,,2280,0,0,88,11,19,11,11,0,0,10,16,19,12,5,2,19,12,6,26,13,6,31,5,380,475,56,89,125
110,John wants John to_inf admire' him ,1,,2300,0,0,88,11,19,11,11,0,0,10,16,19,12,5,2,20,12,6,26,13,6,32,5,383,475,56,89,125
111,Mary wants Mary to_inf admire' her ,1,,2250,0,0,88,11,19,11,11,0,0,10,16,19,12,5,2,18,12,6,26,13,6,30,5,375,475,56,89,125
112,John wants Mary to_inf admire' it ,1,,2210,0,0,88,11,19,11,11,0,0,10,16,19,12,5,2,17,12,6,26,13,6,29,5,368,462,56,94,109
113,Mary wants John to_inf admire' it ,1,,2210,0,0,88,11,19,11,11,0,0,10,16,19,12,5,2,17,12,6,26,13,6,29,5,368,462,56,94,125
114,John wants him to_inf admire' Mary ,1,,2270,0,0,88,11,19,11,11,0,0,10,16,19,12,5,2,19,12,6,26,13,6,31,5,378,440,56,46,125
115,John wants her to_inf admire' Mary ,1,,2280,0,0,88,11,19,11,11,0,0,10,16,19,12,5,2,19,12,6,26,13,6,31,5,380,440,56,46,125
116,Mary wants him to_inf admire' Mary ,1,,2240,0,0,88,11,19,11,11,0,0,10,16,19,12,5,2,18,12,6,26,13,6,30,5,373,440,56,46,125
117,Mary wants her to_inf admire' Mary ,1,,2250,0,0,88,11,19,11,11,0,0,10,16,19,12,5,2,18,12,6,26,13,6,30,5,375,440,56,46,125
118,Pekka haluaa Merjan_gen ihailevan häntä ,1,,2765,0,0,76,11,16,9,4,0,5,12,18,31,12,0,0,20,15,6,39,11,11,32,5,553,513,57,395,140
119,Pekka haluaa hänen ihailevan Merjaa ,1,,2725,0,0,76,11,16,9,4,0,5,12,18,31,12,0,0,20,15,6,39,11,11,32,5,545,513,57,395,140
120,Pekka haluaa hänen ihailevan häntä ,1,,2595,0,0,76,11,16,9,4,0,5,12,18,31,12,0,0,19,15,6,39,11,11,31,5,519,513,57,395,218
121,hän haluaa hänen ihailevan häntä ,1,,2505,0,0,76,11,16,9,4,0,5,12,18,31,12,0,0,19,15,6,39,11,11,31,5,501,513,57,395,140
122,he='s sister sleeps ,1,,885,0,0,14,5,0,1,1,0,0,1,3,10,6,0,0,7,1,2,15,2,6,13,3,221,29,8,0,46
123,she='s sister sleeps ,1,,915,0,0,14,5,0,1,1,0,0,1,3,10,6,0,0,7,1,2,15,2,6,13,3,228,29,8,0,31
124,hänen siskonsa nukkuu ,1,,1200,0,0,12,5,0,4,3,0,1,8,11,9,6,0,0,11,0,3,12,3,3,17,3,400,47,8,46,46
125,John sleeps ,1,,655,0,0,5,3,0,1,1,0,0,1,3,2,4,0,0,7,0,2,3,2,2,11,2,327,8,3,0,15
126,he admires Mary ,1,,1080,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,12,2,3,5,5,3,19,3,360,36,9,13,31
127,John admires Mary ,1,,1120,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,12,2,3,5,5,3,19,3,373,36,9,13,31
128,he admires her ,1,,1140,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,14,2,3,5,5,3,21,3,380,34,9,4,31
129,John admires Mary ,1,,1120,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,12,2,3,5,5,3,19,3,373,36,9,13,31
130,he='s sister sleeps ,1,,885,0,0,14,5,0,1,1,0,0,1,3,10,6,0,0,7,1,2,15,2,6,13,3,221,29,8,0,31
131,it sleeps ,1,,615,0,0,5,3,0,1,1,0,0,1,3,2,4,0,0,6,0,2,3,2,2,10,2,307,8,3,0,15
132,he admires Mary ,1,,1080,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,12,2,3,5,5,3,19,3,360,36,9,13,31
133,it sleeps ,1,,615,0,0,5,3,0,1,1,0,0,1,3,2,4,0,0,6,0,2,3,2,2,10,2,307,8,3,0,15
134,he admires her ,1,,1140,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,14,2,3,5,5,3,21,3,380,34,9,4,31
135,it sleeps ,1,,615,0,0,5,3,0,1,1,0,0,1,3,2,4,0,0,6,0,2,3,2,2,10,2,307,8,3,0,15
136,it admires her ,1,,1140,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,13,2,3,5,5,3,20,3,380,34,9,4,31
137,John admires Mary ,1,,1120,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,12,2,3,5,5,3,19,3,373,36,9,13,31
138,it sleeps ,1,,615,0,0,5,3,0,1,1,0,0,1,3,2,4,0,0,6,0,2,3,2,2,10,2,307,8,3,0,15
139,John admires Mary ,1,,1120,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,12,2,3,5,5,3,19,3,373,36,9,13,31
140,he sleeps ,1,,615,0,0,5,3,0,1,1,0,0,1,3,2,4,0,0,7,0,2,3,2,2,11,2,307,8,3,0,15
141,Pekka ihailee Merjaa ,1,,1535,0,0,13,6,2,2,0,0,2,2,5,11,7,0,0,14,2,3,13,5,4,21,3,511,51,9,50,31
142,se nukkuu ,1,,735,0,0,5,3,0,1,0,0,1,1,3,6,4,0,0,7,0,2,7,2,2,11,2,367,10,3,9,15
143,Pekka ihailee Merjaa ,1,,1535,0,0,13,6,2,2,0,0,2,2,5,11,7,0,0,14,2,3,13,5,4,21,3,511,51,9,50,46
144,hän nukkuu ,1,,725,0,0,5,3,0,1,0,0,1,1,3,6,4,0,0,7,0,2,7,2,2,11,2,362,10,3,9,31
145,John='s sister admires him ,1,,1460,0,0,46,8,2,2,2,0,0,2,5,11,9,0,0,14,3,3,17,5,7,23,4,292,138,33,18,62
146,Pekan_gen sisko ihailee häntä ,1,,1890,0,0,41,8,2,5,3,0,2,13,17,14,9,0,0,17,2,4,18,6,5,26,4,472,238,31,266,78
147,Pekka sanoo että ihailee häntä ,1,,2075,0,0,43,9,7,5,0,0,5,11,16,30,10,0,0,14,11,5,38,10,6,24,4,415,204,28,176,109
148,Pekka sanoo että ihailen häntä ,1,,2075,0,0,43,9,7,5,0,0,5,11,16,30,10,0,0,14,11,5,38,10,6,24,4,415,204,28,176,109
149,hän sanoo että ihailee häntä ,1,,1985,0,0,43,9,7,5,0,0,5,11,16,30,10,0,0,14,11,5,38,10,6,24,4,397,204,28,176,109
150,hän sanoo että ihailen häntä ,1,,1985,0,0,43,9,7,5,0,0,5,11,16,30,10,0,0,14,11,5,38,10,6,24,4,397,204,28,176,109
151,John admires himself ,1,,1210,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,14,2,3,5,5,3,21,3,403,34,9,4,31
152,Mary admires herself ,1,,1190,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,13,2,3,5,5,3,20,3,396,34,9,4,31
153,he admires himself ,1,,1170,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,14,2,3,5,5,3,21,3,390,34,9,4,31
154,she admires herself ,1,,1200,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,14,2,3,5,5,3,21,3,400,34,9,4,31
155,Pekka ihailee itseään ,1,,1385,0,0,13,6,2,2,0,0,2,2,5,11,7,0,0,12,2,3,13,5,4,19,3,461,51,9,50,46
156,hän ihailee itseään ,1,,1295,0,0,13,6,2,2,0,0,2,2,5,11,7,0,0,12,2,3,13,5,4,19,3,431,51,9,50,31
157,John admires herself ,1,,1220,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,14,2,3,5,5,3,21,3,406,34,9,4,31
158,Mary admires himself ,1,,1180,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,13,2,3,5,5,3,20,3,393,34,9,4,31
159,he admires herself ,1,,1180,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,14,2,3,5,5,3,21,3,393,34,9,4,31
160,she admires himself ,1,,1190,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,14,2,3,5,5,3,21,3,396,34,9,4,31
161,it admires herself ,1,,1180,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,13,2,3,5,5,3,20,3,393,34,9,4,31
162,it admires himself ,1,,1170,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,13,2,3,5,5,3,20,3,390,34,9,4,31
163,himself admires John ,1,,
164,himself admires Mary ,1,,
165,himself admires he ,1,,
166,himself admires him ,1,,
167,himself admires she ,1,,
168,himself admires her ,1,,
169,himself admires it ,1,,
170,herself admires John ,1,,
171,herself admires Mary ,1,,
172,herself admires he ,1,,
173,herself admires him ,1,,
174,herself admires she ,1,,
175,herself admires her ,1,,
176,herself admires it ,1,,
177,John admires Bill ,1,,1150,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,13,2,3,5,5,3,20,3,383,36,9,13,31
178,he admires himself ,1,,1170,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,14,2,3,5,5,3,21,3,390,34,9,4,46
179,John admires himself ,1,,1210,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,14,2,3,5,5,3,21,3,403,34,9,4,46
180,he sleeps ,1,,615,0,0,5,3,0,1,1,0,0,1,3,2,4,0,0,7,0,2,3,2,2,11,2,307,8,3,0,15
181,John admires Mary ,1,,1120,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,12,2,3,5,5,3,19,3,373,36,9,13,31
182,Bill admires himself ,1,,1210,0,0,13,6,2,2,2,0,0,2,5,3,7,0,0,14,2,3,5,5,3,21,3,403,34,9,4,31
183,John='s sister admires himself ,1,,1500,0,0,46,8,2,2,2,0,0,2,5,11,9,0,0,14,3,3,17,5,7,23,4,300,138,33,18,62
184,Pekan_gen sisko ihailee itseään ,1,,1870,0,0,41,8,2,5,3,0,2,13,17,14,9,0,0,16,2,4,18,6,5,25,4,467,238,31,266,78
185,John wants Mary to_inf admire' herself ,1,,2320,0,0,88,11,19,11,11,0,0,10,16,19,12,5,2,19,12,6,26,13,6,31,5,386,475,56,89,109
186,Pekka haluaa Merjan_gen ihailevan itseään ,1,,2745,0,0,76,11,16,9,4,0,5,12,18,31,12,0,0,19,15,6,39,11,11,31,5,549,513,57,395,125
187,John wants Mary to_inf admire' himself ,1,,2310,0,0,88,11,19,11,11,0,0,10,16,19,12,5,2,19,12,6,26,13,6,31,5,385,475,56,89,109
188,Pekka halusi Merjan_gen ihailevan itseään ,1,,2745,0,0,76,11,16,9,4,0,5,12,18,31,12,0,0,19,15,6,39,11,11,31,5,549,513,57,395,125
189,John wants to_inf admire' himself ,1,,1700,0,0,29,9,11,4,4,0,0,6,12,9,10,4,0,14,11,6,14,11,5,24,4,340,108,17,12,62
190,he wants to_inf admire' himself ,1,,1660,0,0,29,9,11,4,4,0,0,6,12,9,10,4,0,14,11,6,14,11,5,24,4,332,108,17,12,62
191,Mary wants to_inf admire' herself ,1,,1680,0,0,29,9,11,4,4,0,0,6,12,9,10,4,0,13,11,6,14,11,5,23,4,336,108,17,12,78
192,she wants to_inf admire' herself ,1,,1690,0,0,29,9,11,4,4,0,0,6,12,9,10,4,0,14,11,6,14,11,5,24,4,338,108,17,12,78
193,Pekka haluaa ihailla itseään ,1,,1765,0,0,29,9,8,3,0,0,3,4,9,17,10,3,0,12,6,5,21,9,5,22,4,441,133,21,94,62
194,hän haluaa ihailla itseään ,1,,1675,0,0,29,9,8,3,0,0,3,4,9,17,10,3,0,12,6,5,21,9,5,22,4,418,133,21,94,62
195,John wants to_inf admire' herself ,1,,1710,0,0,29,9,11,4,4,0,0,6,12,9,10,4,0,14,11,6,14,11,5,24,4,342,108,17,12,78
196,he wants to_inf admire' herself ,1,,1670,0,0,29,9,11,4,4,0,0,6,12,9,10,4,0,14,11,6,14,11,5,24,4,334,108,17,12,78
197,John wants himself to_inf admire' Mary ,1,,2310,0,0,88,11,19,11,11,0,0,10,16,19,12,5,2,19,12,6,26,13,6,31,5,385,440,56,46,125
198,Mary wants herself to_inf admire' John ,1,,2320,0,0,88,11,19,11,11,0,0,10,16,19,12,5,2,19,12,6,26,13,6,31,5,386,440,56,46,125
199,Pekka haluaa itsensä_gen ihailevan Merjaa ,1,,2745,0,0,76,11,16,9,4,0,5,12,18,31,12,0,0,19,15,6,39,11,11,31,5,549,513,57,395,125
200,John wants herself to_inf admire' Mary ,1,,2320,0,0,88,11,19,11,11,0,0,10,16,19,12,5,2,19,12,6,26,13,6,31,5,386,440,56,46,125
201,Mary wants himself to_inf admire' John ,1,,2310,0,0,88,11,19,11,11,0,0,10,16,19,12,5,2,19,12,6,26,13,6,31,5,385,440,56,46,125
202,John said that Mary admires himself ,1,,2215,0,0,59,11,9,10,10,0,0,13,18,14,12,0,0,19,21,5,25,16,6,31,5,369,306,39,16,109
203,Mary said that John admires herself ,1,,2225,0,0,59,11,9,10,10,0,0,13,18,14,12,0,0,19,21,5,25,16,6,31,5,370,306,39,16,93
204,Pekka sanoo että ihailee itseään ,1,,2055,0,0,43,9,7,5,0,0,5,11,16,30,10,0,0,13,11,5,38,10,6,23,4,411,204,28,176,93
205,Pekka sanoo että ihailen itseäni ,1,,2055,0,0,43,9,7,5,0,0,5,11,16,30,10,0,0,13,11,5,38,10,6,23,4,411,204,28,176,109
206,Pekka sanoo että ihailee itseäni ,1,,2055,0,0,43,9,7,5,0,0,5,11,16,30,10,0,0,13,11,5,38,10,6,23,4,411,204,28,176,93
207,Pekka sanoo että ihailen itseään ,1,,2055,0,0,43,9,7,5,0,0,5,11,16,30,10,0,0,13,11,5,38,10,6,23,4,411,204,28,176,93
