avain-          {'PF:avain', '-COMP:V', 'COMP:R', 'COMP:R/D', 'SPEC:A', 'COMP:C', 'N', '-COMP:T/prt', '-SPEC:ADV', 'LANG:FI', '-COMP:D', '-COMP:T/fin', '-SPEC:uWH', '-SEM:directional', '-SPEC:T/fin', '-COMP:v', '-SPEC:N', 'COMP:D/rel', 'LF:key', 'PHON', 'COMP:P', '-COMP:AUX', '-SPEC:P', '-SPEC:C/fin', '-COMP:WH', 'COMP:uR', '-COMP:A', '-COMP:C/fin', '-COMP:N', '-SPEC:R', '-SPEC:V', '-SPEC:FORCE', '-COMP:VA/inf', '-COMP:φ'}
auton           {'LANG:FI', 'PHON'}
auto            {'LANG:FI', 'PHON'}
auto-           {'-COMP:V', 'LF:car', 'COMP:R', 'COMP:R/D', 'SPEC:A', 'COMP:C', 'N', '-COMP:T/prt', '-SPEC:ADV', 'LANG:FI', '-COMP:D', '-COMP:T/fin', '-SPEC:uWH', 'PF:auto', '-SEM:directional', '-SPEC:T/fin', '-COMP:v', '-SPEC:N', 'COMP:D/rel', 'PHON', 'COMP:P', '-COMP:AUX', '-SPEC:P', '-SPEC:C/fin', '-COMP:WH', 'COMP:uR', '-COMP:A', '-COMP:C/fin', '-COMP:N', '-SPEC:R', '-SPEC:V', '-SPEC:FORCE', '-COMP:VA/inf', '-COMP:φ'}
bank            {'LF:bank_inst', '-COMP:V', 'COMP:R', 'COMP:R/D', 'SPEC:A', 'COMP:C', 'FREQ:1', 'N', '-SPEC:ADV', '-COMP:D', '-COMP:T/fin', '-SPEC:uWH', 'PF:bank1', 'LANG:EN', '-SPEC:T/fin', '-COMP:v', '-SPEC:N', 'COMP:D/rel', 'PHON', 'COMP:P', '-COMP:AUX', '-SPEC:P', '-SPEC:C/fin', '-COMP:WH', 'COMP:uR', '-COMP:A', '-COMP:C/fin', '-COMP:N', '-SPEC:R', '-SPEC:V', '-SPEC:FORCE', '-COMP:VA/inf', '-COMP:φ'}
bank            {'-COMP:V', 'COMP:R', 'COMP:R/D', 'SPEC:A', 'COMP:C', 'N', '-SPEC:ADV', '-COMP:D', 'LF:bank_river', 'PF:bank2', '-COMP:T/fin', '-SPEC:uWH', 'FREQ:2', 'LANG:EN', '-SPEC:T/fin', '-COMP:v', '-SPEC:N', 'COMP:D/rel', 'PHON', 'COMP:P', '-COMP:AUX', '-SPEC:P', '-SPEC:C/fin', '-COMP:WH', 'COMP:uR', '-COMP:A', '-COMP:C/fin', '-COMP:N', '-SPEC:R', '-SPEC:V', '-SPEC:FORCE', '-COMP:VA/inf', '-COMP:φ'}
barn            {'-COMP:V', 'COMP:R', 'COMP:R/D', 'SPEC:A', 'COMP:C', 'LF:barn', 'N', 'PF:barn', '-SPEC:ADV', '-COMP:D', '-COMP:T/fin', '-SPEC:uWH', 'LANG:EN', '-SPEC:T/fin', '-COMP:v', '-SPEC:N', 'COMP:D/rel', 'PHON', 'COMP:P', '-COMP:AUX', '-SPEC:P', '-SPEC:C/fin', '-COMP:WH', 'COMP:uR', '-COMP:A', '-COMP:C/fin', '-COMP:N', '-SPEC:R', '-SPEC:V', '-SPEC:FORCE', '-COMP:VA/inf', '-COMP:φ'}
Bill            {'LANG:EN', 'PHON'}
Bill-           {'-COMP:V', 'COMP:R', 'LF:Bill', 'COMP:R/D', 'SPEC:A', 'COMP:C', 'N', '-COMP:INF', '-SPEC:ADV', '-COMP:D', '-COMP:T/fin', '-SPEC:uWH', 'LANG:EN', '-SEM:directional', '-adjoinable', '-SPEC:T/fin', '-COMP:v', '-SPEC:N', 'COMP:D/rel', 'PHON', 'COMP:P', '-COMP:AUX', '-SPEC:P', '-SPEC:C/fin', '-COMP:WH', 'COMP:uR', 'R:REF:PROPER_NAME', '-COMP:A', '-COMP:C/fin', '-COMP:N', '-SPEC:R', '-SPEC:V', '-SPEC:FORCE', 'PF:Bill', '-COMP:VA/inf', '-COMP:φ'}
city            {'-COMP:V', 'COMP:R', 'COMP:R/D', 'SPEC:A', 'COMP:C', 'N', '-SPEC:ADV', '-COMP:D', 'LF:city', '-COMP:T/fin', '-SPEC:uWH', 'LANG:EN', '-SPEC:T/fin', '-COMP:v', '-SPEC:N', 'COMP:D/rel', 'PHON', 'COMP:P', '-COMP:AUX', '-SPEC:P', '-SPEC:C/fin', 'PF:city', '-COMP:WH', 'COMP:uR', '-COMP:A', '-COMP:C/fin', '-COMP:N', '-SPEC:R', '-SPEC:V', '-SPEC:FORCE', '-COMP:VA/inf', '-COMP:φ'}
