Prediction errors:
2258. nenä-#ile#mAise#[NOM] 
2265. nenä-#ile#mAise#hkO 
2521. nenä-#UTU#UTU#(t)A 
2523. nenä-#UTU#UTU#T/fin#prs#n 
2527. nenä-#UTU#UTU#jA 
2531. nenä-#UTU#UTU#mAtOn 
2534. nenä-#UTU#UTU#vA 
2536. nenä-#UTU#AhtA#(t)A 
2538. nenä-#UTU#AhtA#T/fin#prs#n 
2542. nenä-#UTU#AhtA#jA 
2546. nenä-#UTU#AhtA#mAtOn 
2548. nenä-#UTU#AhtA#mA 
2549. nenä-#UTU#AhtA#vA 
2551. nenä-#UTU#Aise#(t)A 
2553. nenä-#UTU#Aise#T/fin#prs#n 
2557. nenä-#UTU#Aise#jA 
2561. nenä-#UTU#Aise#mAtOn 
2563. nenä-#UTU#Aise#mA 
2564. nenä-#UTU#Aise#vA 
2566. nenä-#UTU#a#(t)A 
2568. nenä-#UTU#a#T/fin#prs#n 
2572. nenä-#UTU#a#jA 
2576. nenä-#UTU#a#mAtOn 
2578. nenä-#UTU#a#mA 
2579. nenä-#UTU#a#vA 
2586. nenä-#UTU#O#tAr 
2588. nenä-#UTU#O#[NOM] 
2589. nenä-#UTU#O#inen 
2590. nenä-#UTU#O#mAinen 
2592. nenä-#UTU#O#tOn 
2616. nenä-#UTU#stO#tAr 
2618. nenä-#UTU#stO#[NOM] 
2619. nenä-#UTU#stO#inen 
2620. nenä-#UTU#stO#mAinen 
2622. nenä-#UTU#stO#tOn 
2648. nenä-#UTU#ise#[NOM] 
2655. nenä-#UTU#ise#hkO 
2663. nenä-#UTU#mAise#[NOM] 
2670. nenä-#UTU#mAise#hkO 
2766. nenä-#UTU#jA#tAr 
2896. nenä-#AhtA#TA#(t)A 
2898. nenä-#AhtA#TA#T/fin#prs#n 
2902. nenä-#AhtA#TA#jA 
2906. nenä-#AhtA#TA#mAtOn 
2908. nenä-#AhtA#TA#mA 
2909. nenä-#AhtA#TA#vA 
2911. nenä-#AhtA#ile#(t)A 
2913. nenä-#AhtA#ile#T/fin#prs#n 
2917. nenä-#AhtA#ile#jA 
2921. nenä-#AhtA#ile#mAtOn 
2923. nenä-#AhtA#ile#mA 
2924. nenä-#AhtA#ile#vA 
2926. nenä-#AhtA#UTU#(t)A 
2928. nenä-#AhtA#UTU#T/fin#prs#n 
2932. nenä-#AhtA#UTU#jA 
2936. nenä-#AhtA#UTU#mAtOn 
2939. nenä-#AhtA#UTU#vA 
2941. nenä-#AhtA#AhtA#(t)A 
2943. nenä-#AhtA#AhtA#T/fin#prs#n 
2947. nenä-#AhtA#AhtA#jA 
2951. nenä-#AhtA#AhtA#mAtOn 
2953. nenä-#AhtA#AhtA#mA 
2954. nenä-#AhtA#AhtA#vA 
2956. nenä-#AhtA#Aise#(t)A 
2958. nenä-#AhtA#Aise#T/fin#prs#n 
2962. nenä-#AhtA#Aise#jA 
2966. nenä-#AhtA#Aise#mAtOn 
2968. nenä-#AhtA#Aise#mA 
2969. nenä-#AhtA#Aise#vA 
2971. nenä-#AhtA#a#(t)A 
2973. nenä-#AhtA#a#T/fin#prs#n 
2977. nenä-#AhtA#a#jA 
2981. nenä-#AhtA#a#mAtOn 
2983. nenä-#AhtA#a#mA 
2984. nenä-#AhtA#a#vA 
2991. nenä-#AhtA#O#tAr 
2993. nenä-#AhtA#O#[NOM] 
