avain-          {'-COMP:A', '-SPEC:uWH', '-COMP:N', 'LF:key', 'SPEC:A', 'COMP:R/D', 'COMP:C', '-SEM:directional', '-COMP:VA/inf', '-SPEC:FORCE', '-COMP:T/fin', '-SPEC:V', 'PHON', 'LANG:FI', '-SPEC:R', 'N', 'COMP:R', '-COMP:D', '-COMP:WH', 'COMP:uR', 'COMP:P', 'COMP:D/rel', 'PF:avain', '-SPEC:P', '-SPEC:C/fin', '-COMP:v', '-SPEC:T/fin', '-SPEC:INF', '-COMP:V', '-SPEC:ADV', 'COMP:T/prt', '-COMP:AUX', '-COMP:T/prt', '-SPEC:N', '-COMP:C/fin'}
auton           {'PHON', 'LANG:FI'}
auto            {'PHON', 'LANG:FI'}
auto-           {'-COMP:A', '-SPEC:uWH', '-COMP:N', 'SPEC:A', 'COMP:R/D', 'COMP:C', '-SEM:directional', '-COMP:VA/inf', '-SPEC:FORCE', '-COMP:T/fin', '-SPEC:V', 'PHON', 'LANG:FI', '-SPEC:R', 'N', 'COMP:R', '-COMP:D', '-COMP:WH', 'COMP:uR', 'COMP:P', 'COMP:D/rel', '-SPEC:P', '-SPEC:C/fin', '-COMP:v', '-SPEC:T/fin', 'PF:auto', '-SPEC:INF', '-COMP:V', 'LF:car', '-SPEC:ADV', 'COMP:T/prt', '-COMP:AUX', '-COMP:T/prt', '-SPEC:N', '-COMP:C/fin'}
bank            {'-COMP:A', '-SPEC:uWH', '-COMP:N', 'SPEC:A', 'COMP:R/D', 'COMP:C', '-COMP:VA/inf', '-SPEC:FORCE', '-COMP:T/fin', 'LANG:EN', '-SPEC:V', 'PHON', 'LF:bank_inst', '-SPEC:R', 'N', 'COMP:R', 'FREQ:1', '-COMP:D', '-COMP:WH', 'COMP:uR', 'COMP:P', 'COMP:D/rel', '-SPEC:P', '-SPEC:C/fin', '-COMP:v', '-SPEC:T/fin', '-SPEC:INF', '-COMP:V', 'PF:bank1', '-SPEC:ADV', 'COMP:T/prt', '-COMP:AUX', '-SPEC:N', '-COMP:C/fin'}
bank            {'LF:bank_river', '-COMP:A', '-SPEC:uWH', 'PF:bank2', '-COMP:N', 'SPEC:A', 'COMP:R/D', 'COMP:C', '-COMP:VA/inf', '-SPEC:FORCE', '-COMP:T/fin', 'FREQ:2', 'LANG:EN', '-SPEC:V', 'PHON', '-SPEC:R', 'N', 'COMP:R', '-COMP:D', '-COMP:WH', 'COMP:uR', 'COMP:P', 'COMP:D/rel', '-SPEC:P', '-SPEC:C/fin', '-COMP:v', '-SPEC:T/fin', '-SPEC:INF', '-COMP:V', '-SPEC:ADV', 'COMP:T/prt', '-COMP:AUX', '-SPEC:N', '-COMP:C/fin'}
barn            {'-COMP:A', '-SPEC:uWH', '-COMP:N', 'SPEC:A', 'COMP:R/D', 'COMP:C', '-COMP:VA/inf', '-SPEC:FORCE', 'PF:barn', '-COMP:T/fin', 'LANG:EN', '-SPEC:V', 'PHON', '-SPEC:R', 'N', 'COMP:R', 'LF:barn', '-COMP:D', '-COMP:WH', 'COMP:uR', 'COMP:P', 'COMP:D/rel', '-SPEC:P', '-SPEC:C/fin', '-COMP:v', '-SPEC:T/fin', '-SPEC:INF', '-COMP:V', '-SPEC:ADV', 'COMP:T/prt', '-COMP:AUX', '-SPEC:N', '-COMP:C/fin'}
Bill            {'PHON', 'LANG:EN'}
Bill-           {'-adjoinable', '-COMP:A', '-SPEC:uWH', 'PF:Bill', '-COMP:N', 'SPEC:A', 'COMP:R/D', 'COMP:C', '-SEM:directional', '-COMP:VA/inf', '-SPEC:FORCE', '-COMP:T/fin', 'LANG:EN', 'LF:Bill', '-SPEC:V', 'PHON', '-SPEC:R', 'N', 'COMP:R', '-COMP:D', '-COMP:WH', 'COMP:uR', 'COMP:P', 'COMP:D/rel', '-SPEC:P', '-SPEC:C/fin', '-COMP:v', '-SPEC:T/fin', '-SPEC:INF', '-COMP:V', 'R:REF:PROPER_NAME', '-SPEC:ADV', 'COMP:T/prt', '-COMP:AUX', '-SPEC:N', '-COMP:C/fin'}
city            {'-COMP:A', '-SPEC:uWH', '-COMP:N', 'SPEC:A', 'COMP:R/D', 'COMP:C', '-COMP:VA/inf', '-SPEC:FORCE', '-COMP:T/fin', 'LANG:EN', '-SPEC:V', 'PHON', '-SPEC:R', 'N', 'COMP:R', 'PF:city', '-COMP:D', '-COMP:WH', 'COMP:uR', 'COMP:P', 'COMP:D/rel', '-SPEC:P', '-SPEC:C/fin', '-COMP:v', '-SPEC:T/fin', '-SPEC:INF', '-COMP:V', '-SPEC:ADV', 'COMP:T/prt', '-COMP:AUX', 'LF:city', '-SPEC:N', '-COMP:C/fin'}
