ï»¿dummy        {'dummy', 'LANG:FI'}
loydettiin      ['LANG:FI']
loysimme        ['LANG:FI']
loysi           ['LANG:FI']
loyta-          {'V', '-COMP:V', '!COMP:*', '-SPEC:T/fin', '!COMP:D', '-VAL', 'CAT:ARG', 'LF:find', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', 'LANG:FI', '-COMP:N', '-COMP:P', 'PF:loyta-', '-SPEC:FORCE', 'CLASS:TR', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
Mary            ['LANG:EN']
Mary-           {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', 'PF:Mary', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-SEM:directional', '-SPEC:R', '-COMP:AUX', 'SPEC:A', '-COMP:P', '-adjoinable', '-SPEC:FORCE', '-SPEC:N', '-COMP:D', '-SPEC:INF', 'LANG:EN', '-COMP:C/fin', 'LF:Mary', 'COMP:uR'}
Merja           ['LANG:FI']
Merjan          ['LANG:FI']
Merjan_acc      ['LANG:FI']
Merjan_gen      ['LANG:FI']
Merjaa          ['LANG:FI']
Merja-          {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', 'LF:Merja', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-SEM:directional', 'LANG:FI', '-SPEC:R', 'SPEC:A', '-COMP:AUX', '-adjoinable', '-SPEC:FORCE', '-COMP:P', '-SPEC:N', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'PF:Merja', 'COMP:uR'}
Merjalle        ['LANG:FI']
malla           {'-SPEC:Neg/fin', 'LANG:FI', '-SPEC:N', 'SPEC:*', 'adjoinable', 'ADV', '-SPEC:T/fin', 'PF:malla', '-SPEC:FORCE', 'COMP:v', 'LF:by'}
meren           ['LANG:FI']
mere-           {'-COMP:V', 'COMP:R', 'PF:meri', 'LF:ocean', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', 'LANG:FI', '-SPEC:R', '-COMP:AUX', 'SPEC:A', '-COMP:P', '-SPEC:N', '-SPEC:FORCE', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR'}
mistake         {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', 'PF:mistake', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-SPEC:R', '-COMP:P', 'SPEC:A', '-SPEC:N', '-COMP:D', '-SPEC:FORCE', '-SPEC:INF', 'LF:mistake', 'LANG:EN', '-COMP:C/fin', 'COMP:uR'}
mita            ['LANG:FI']
moved           ['LANG:EN']
move-           {'V', '-COMP:V', '!COMP:*', '-SPEC:T/fin', 'PHI:GEN:_', 'COMP:D', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', '+SEM:directional', 'ASP', 'PHI:NUM:_', 'LANGN:EN', 'SPEC:D', 'SPEC:P', '-COMP:N', '-COMP:P', '-SPEC:FORCE', 'CLASS:TR', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T', 'LF:move', 'PF:move'}
mukavasti       ['LANG:FI']
mukava-         {'LANG:FI', 'SPEC:*', 'COMP:0', 'adjoinable', 'LF:comfortably', '-SPEC:A', 'TAIL:D', 'A', 'PF:mukavasti'}
must            {'!COMP:*', '-SPEC:T/fin', 'PHI:GEN:_', 'COMP:D', 'CAT:ARG', 'COMP:v', '!SPEC:D', 'FIN', 'COMP:T/prt', '!SPEC:*', 'PHI:PER:_', 'PHI:NUM:_', '-SPEC:C/fin', '-SPEC:V', '!PROBE:V', 'SPEC:D', 'COMP:V', '-SPEC:N', 'PF:must', 'VAL', 'PHI:DET:_', 'COMP:Neg', '-SPEC:v', 'MODAL', 'T', '-SPEC:FORCE', 'SPEC:*', 'LANG:EN', 'ARG', 'SPEC:TO/inf', 'LF:must', 'T/fin'}
myi             ['LANG:FI']
myynyt          ['LANG:FI']
myyda           ['LANG:FI']
myy-            {'V', '-COMP:V', '!COMP:*', '-SPEC:T/fin', 'COMP:D', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'PF:myy', 'SPEC:D', 'SPEC:P', 'LANG:FI', '-COMP:N', '-COMP:P', 'LF:sell', '-SPEC:FORCE', 'CLASS:TR', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
naki            ['LANG:FI']
nake-           {'V', '-COMP:V', '!COMP:*', '-SPEC:T/fin', 'PF:nake', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', 'LANG:FI', '-COMP:N', '-COMP:P', '-COMP:T', '-SPEC:FORCE', 'CLASS:TR', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', 'LF:see'}
nen             {'PF:a', 'LANG:FI', 'SPEC:*', 'COMP:0', 'adjoinable', '-SPEC:A', 'TAIL:D', 'LF:ing', 'A'}
not             {'!COMP:*', 'LF:not', 'SPEC:*', '-SPEC:T/fin', '-COMP:D', '-COMP:C', 'Neg', 'PHI:GEN:_', '-VAL', 'CAT:ARG', 'LANG:EN', 'ARG', 'PHI:PER:_', '-COMP:FIN', 'POL:NEG', 'PHI:NUM:_', 'PHI:DET:_', 'PF:not'}
nukkunut        ['LANG:FI']
nukkua          ['LANG:FI']
nukkui          ['LANG:FI']
nukku-          {'V', '-COMP:V', '-SPEC:T/fin', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', '-COMP:T/fin', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', 'LANG:FI', '-COMP:N', '-COMP:D', '-SPEC:FORCE', 'ARG', 'LF:sleep', 'SPEC:TO/inf', 'SPEC:ADV', 'CLASS:INTR', 'PHI:DET:_', '-COMP:T', 'PF:nukku'}
ollut           ['LANG:FI']
on'             ['LANG:FI']
omaisuutensa    ['LANG:FI']
omaisuuttaan    ['LANG:FI']
omaisuus-       {'-COMP:V', 'LF:possessions', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', 'LANG:FI', '-SPEC:R', '-COMP:AUX', 'SPEC:A', '-COMP:P', '-SPEC:N', '-SPEC:FORCE', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'PF:omaisuuden', 'COMP:uR'}
Pekka           ['LANG:FI']
Pekan_gen       ['LANG:FI']
Pekka-          {'-COMP:V', 'PF:Pekka', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-SEM:directional', 'LANG:FI', '-SPEC:R', 'SPEC:A', '-COMP:AUX', '-COMP:P', '-SPEC:FORCE', '-SPEC:N', 'LF:Pekka', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR'}
persuades       ['LANG:EN']
persuade-       {'V', '-COMP:V', '-SPEC:T/fin', 'PHI:GEN:_', '-VAL', 'CAT:ARG', 'LF:persuade', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'PF:persuade', 'SEM:external', 'SPEC:P', '-COMP:N', 'COMP:TO/inf', '-SPEC:FORCE', 'LANG:EN', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
peruuntui       ['LANG:FI']
peruuntu-       {'V', '-COMP:V', '-SPEC:T/fin', '-VAL', 'CAT:ARG', 'PF:peruuntui', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', 'LANG:FI', '-COMP:N', '-SPEC:FORCE', 'LF:cancelled', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
pieni           ['LANG:FI']
pieni-          {'LANG:FI', '0', 'LF:small', 'PF:pieni-'}
poikien         ['LANG:FI']
poika-          {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', 'LF:boy', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', 'LANG:FI', '-SPEC:R', '-COMP:AUX', 'SPEC:A', '-COMP:P', '-SPEC:N', '-SPEC:FORCE', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'PF:poika', 'COMP:uR'}
punainen        ['LANG:FI']
puna-           {'LANG:FI', '0', 'LF:red', 'PF:puna-'}
promises        ['LANG:EN']
promise-        {'LF:promise', 'V', '-COMP:V', '-SPEC:T/fin', 'PHI:GEN:_', 'COMP:D', 'SEM:internal', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PF:promise', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', '-COMP:N', '-SPEC:FORCE', 'LANG:EN', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
pyytaa          ['LANG:FI']
pyyta-          {'V', '-COMP:V', '-SPEC:T/fin', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PF:pyyda', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:P', 'LANG:FI', '-COMP:N', 'LF:ask', '-SPEC:FORCE', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
red             ['LANG:EN']
red-            {'0', 'PF:red', 'LF:red', 'LANG:EN'}
saavuttaa       ['LANG:FI']
saavutta-       {'V', '-COMP:V', '-SPEC:T/fin', '-VAL', 'CAT:ARG', 'LF:reach', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:P', 'LANG:FI', '-COMP:N', '-SPEC:FORCE', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T', 'PF:saavutta-'}
sanon           ['LANG:FI']
sanoo           ['LANG:FI']
sanoi           ['LANG:FI']
sano-           {'V', '-COMP:V', 'LF:say', '-SPEC:T/fin', '-VAL', 'CAT:ARG', 'COMP:FORCE', '-COMP:Neg/fin', 'COMP:VA/inf', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', 'LANG:FI', '-COMP:N', '-SPEC:FORCE', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T', 'PF:sano-'}
said            ['LANG:EN']
say-            {'V', '-COMP:V', 'LF:say', '-SPEC:T/fin', 'PHI:GEN:_', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', '-COMP:N', '-SPEC:FORCE', 'LANG:EN', '!COMP:FORCE', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PF:say', 'PHI:DET:_', '-COMP:T'}
se'             {'!COMP:*', 'D', '-SPEC:T/fin', '!PROBE:N', '-SPEC:P', '-SPEC:MA/lla', 'LF:the/that', '-COMP:uR', '-SPEC:D', '-COMP:T/fin', '-ARG', 'COMP:N', '-SPEC:Neg/fin', '-SPEC:V', 'LANG:FI', '-SPEC:N', 'adjoinable', '-SPEC:INF', 'PF:se', 'VAL'}
Seine           ['LANG:FI']
Seine-          {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', 'LF:Seine', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', 'PF:Seine', '-SPEC:V', '-COMP:WH', '-COMP:N', 'LANG:FI', '-SPEC:R', '-COMP:AUX', 'SPEC:A', '-COMP:P', '-SPEC:N', '-SPEC:FORCE', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR'}
sembrano        ['LANG:IT']
sembra-         {'V', '-COMP:V', '!COMP:ARE/inf', '-SPEC:T/fin', '-VAL', '-R', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', '-ARG', 'SPEC:P', 'LANG:FI', '-COMP:N', '-COMP:D', '-SPEC:FORCE', '-ASP', 'LF:seem', 'SPEC:TO/inf', 'SPEC:ADV', 'PF:sembra', '-COMP:T'}
sleeps          ['LANG:EN']
sleep           {'V', '-COMP:V', '-SPEC:T/fin', 'PHI:GEN:_', 'PF:sleep', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', '-COMP:N', '-COMP:D', '-SPEC:FORCE', 'LANG:EN', 'ARG', 'LF:sleep', 'SPEC:TO/inf', 'SPEC:ADV', 'CLASS:INTR', 'PHI:DET:_', '-COMP:T'}
sleep-          {'V', '-COMP:V', '-SPEC:T/fin', 'PHI:GEN:_', 'PF:sleep', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', '-COMP:N', '-COMP:D', '-SPEC:FORCE', 'LANG:EN', 'ARG', 'LF:sleep', 'SPEC:TO/inf', 'SPEC:ADV', 'CLASS:INTR', 'PHI:DET:_', '-COMP:T'}
sono            ['LANG:IT']
sopimuksen      ['LANG:FI']
sopimus         ['LANG:FI']
sopimus-        {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', 'PF:sopimus', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', 'LF:agreement', '-SPEC:V', '-COMP:WH', '-COMP:N', 'LANG:FI', '-SPEC:R', '-COMP:AUX', 'SPEC:A', '-COMP:P', '-SPEC:N', '-SPEC:FORCE', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR', '!COMP:A/inf'}
spinge          ['LANG:IT']
spinge-         {'V', '-COMP:V', '-SPEC:T/fin', 'PHI:GEN:_', '!COMP:D', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', '-COMP:v', 'PHI:PER:_', 'ASP', 'LF:push', 'PHI:NUM:_', '-COMP:T', 'SPEC:P', '-COMP:N', '-COMP:P', '-SPEC:FORCE', 'LANG:IT', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', 'PF:spinge'}
ssa             {'-SPEC:iWH', 'P', '!COMP:*', '-SPEC:iR', '-SPEC:T/fin', '-COMP:ADV', '!COMP:D', '-SPEC:P', '-VAL', 'CAT:ARG', '-SPEC:*', '-SPEC:ADV', 'PHI:PER:_', '-COMP:T/fin', 'PHI:NUM:_', 'LF:in', '-SPEC:Neg/fin', '-SPEC:C/fin', '-SPEC:V', 'TAIL:T', '-COMP:N', 'LANG:FI', '-SPEC:N', 'adjoinable', '-SPEC:v', '-SPEC:FORCE', '-COMP:uWH', '-SPEC:INF', 'ARG', 'PF:ssa', 'PHI:DET:_'}
stanno          ['LANG:IT']
sta-            {'V', '-COMP:V', 'PF:sta', '-SPEC:T/fin', 'SEM:internal', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'LF:stay', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'PHI:NUM:_', 'COMP:PRG', 'SPEC:D', 'SPEC:P', 'LANG:FI', '-COMP:N', '-SPEC:FORCE', '-ASP', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
sti             {'-SPEC:Neg/fin', '!COMP:A', 'LANG:FI', '-SPEC:N', 'SPEC:*', 'adjoinable', 'ADV', '-SPEC:T/fin', '-SPEC:FORCE', 'PF:sti', '-ARG', 'LF:by'}
talo            {'LF:house', '-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', 'LANG:FI', '-SPEC:R', '-COMP:AUX', 'SPEC:A', '-COMP:P', '-SPEC:N', '-SPEC:FORCE', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR', 'PF:talo'}
tama            ['LANG:FI']
tama-           {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', 'LF:this', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'PF:tama', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', 'LANG:FI', '-SPEC:R', 'PHI', 'SPEC:A', '-COMP:AUX', '-COMP:P', '-SPEC:FORCE', '-SPEC:N', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR'}
tassa           ['LANG:FI']
taytyy          ['LANG:FI']
taydy           ['LANG:FI']
tayty-          {'V', '-COMP:V', '-SPEC:T/fin', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'PHI:NUM:_', 'SPEC:P', 'PF:taytyy', 'SPEC:*', 'LANG:FI', '-COMP:N', 'MODAL', '-SPEC:FORCE', '-ASP', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'LF:must', 'PHI:DET:_', '-COMP:T', '!COMP:A/inf'}
teki            ['LANG:FI']
teke-           {'V', '-COMP:V', '-SPEC:T/fin', '!COMP:D', '-VAL', '-COMP:A/inf', 'CAT:ARG', '-COMP:Neg/fin', 'LF:make', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:P', 'LANG:FI', '-COMP:N', 'PF:teke', '-SPEC:FORCE', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
that            {'!COMP:*', 'COMP:T/fin', '!PROBE:T/fin', '-VAL', 'LANG:EN', '-SPEC:*', 'PF:that', 'FORCE', 'FIN', 'COMP:C/fin', '-ARG', 'LF:that'}
the             {'!COMP:*', 'D', '-SPEC:T/fin', '!PROBE:N', '-SPEC:P', '-SPEC:MA/lla', '-COMP:uR', 'PF:the', '-SPEC:D', '-COMP:T/fin', '-ARG', 'PHI:DEF:DEF', '-SPEC:Neg/fin', '-SPEC:V', 'COMP:N', '-SPEC:N', 'adjoinable', '-SPEC:INF', 'LF:the', 'LANG:EN', 'VAL'}
to              {'-SPEC:iWH', 'P', '!COMP:*', '-SPEC:iR', '-SPEC:T/fin', '-COMP:ADV', 'PHI:GEN:_', '!COMP:D', 'LF:to', '-VAL', '-SPEC:P', 'CAT:ARG', '-SPEC:*', '-SPEC:ADV', 'PHI:PER:_', '-COMP:T/fin', '+SEM:directional', 'PHI:NUM:_', '-SPEC:Neg/fin', '-SPEC:C/fin', 'TAIL:V,+SEM:directional', '-SPEC:V', '-COMP:N', '-SPEC:N', 'adjoinable', '-SPEC:v', '-SPEC:FORCE', '-COMP:uWH', '-SPEC:INF', 'LANG:EN', 'ARG', 'PF:to', 'PHI:DET:_'}
to_inf          {'!COMP:*', '-SPEC:T/fin', 'LF:TO/inf', '-VAL', 'COMP:v', 'PF:TO/inf', 'INF', '-SPEC:V', 'COMP:V', 'LANG:FI', '-COMP:FORCE', 'adjoinable', '-SPEC:v', '?ARG', '-COMP:C/fin', 'TO/inf', '!PROBE:V'}
towards         {'-SPEC:iWH', 'P', '!COMP:*', '-SPEC:iR', '-SPEC:T/fin', '-COMP:ADV', 'PHI:GEN:_', '!COMP:D', '-SPEC:P', '-VAL', 'CAT:ARG', '-SPEC:*', '-SPEC:ADV', 'PF:towards', 'PHI:PER:_', '-COMP:T/fin', 'PHI:NUM:_', 'TAIL:V', '-SPEC:Neg/fin', '-SPEC:C/fin', '-SPEC:V', 'LF:towards', '-COMP:N', '-SPEC:N', 'adjoinable', '-SPEC:v', '-SPEC:FORCE', '-COMP:uWH', '-SPEC:INF', 'LANG:EN', 'ARG', 'PHI:DET:_'}
tta             {'-SPEC:iWH', 'P', '!COMP:*', '-SPEC:iR', '-SPEC:T/fin', '-COMP:ADV', '!COMP:D', '-SPEC:P', '-VAL', 'CAT:ARG', '-SPEC:ADV', 'PHI:PER:_', '-COMP:T/fin', 'PHI:NUM:_', '-SPEC:Neg/fin', '-SPEC:C/fin', '-SPEC:V', '-COMP:N', 'LANG:FI', 'SPEC:*', '-SPEC:N', 'adjoinable', 'ADV', '-SPEC:v', '-SPEC:FORCE', '-COMP:uWH', '-SPEC:INF', 'ARG', 'PF:tta', 'COMP:n/MA', 'PHI:DET:_', 'LF:without'}
tries           ['LANG:EN']
try-            {'V', '-COMP:V', '!COMP:-ARG', '-SPEC:T/fin', 'PHI:GEN:_', 'SEM:internal', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', '!COMP:TO/inf', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'PF:try', 'SPEC:D', 'SPEC:P', '-COMP:N', '-SPEC:FORCE', 'LANG:EN', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'LF:try', 'PHI:DET:_', '-COMP:T'}
virtaamalla     ['LANG:FI']
virtaa          ['LANG:FI']
virta-          {'V', '-COMP:V', '-SPEC:T/fin', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', 'LANG:FI', '-COMP:N', '-COMP:D', '-SPEC:FORCE', 'PF:virtaa', 'ARG', 'LF:flow', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
voluto          ['LANG:IT']
vuole           ['LANG:IT']
volu-           {'V', 'PF:volu', '-COMP:V', '!COMP:*', '-SPEC:T/fin', 'LF:want', 'SEM:internal', '-VAL', 'CAT:ARG', '-SPEC:*', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:P', 'LANG:FI', '-COMP:N', '-SPEC:FORCE', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
wants           ['LANG:EN']
want-           {'V', '-COMP:V', '!COMP:*', '-SPEC:T/fin', 'PHI:GEN:_', 'LF:want', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PF:want', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', '-COMP:N', '-COMP:P', 'COMP:TO/inf', '-SPEC:FORCE', 'CLASS:TR', 'LANG:EN', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
which           {'!COMP:*', 'D', 'PF:which', '-SPEC:T/fin', '!PROBE:N', '-SPEC:P', '-SPEC:MA/lla', '-COMP:uR', '-SPEC:D', '-COMP:T/fin', '-ARG', 'COMP:N', '-SPEC:Neg/fin', '-SPEC:V', 'LF:which', 'OP:WH', '-SPEC:N', 'adjoinable', '-SPEC:INF', 'LANG:EN', 'VAL'}
who             ['LANG:EN']
who-            {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', 'LF:who', '-COMP:WH', '-COMP:N', '-COMP:AUX', '-SPEC:R', '-COMP:P', 'SPEC:A', '-SPEC:N', '-COMP:D', '-SPEC:FORCE', '-SPEC:INF', 'LANG:EN', '-COMP:C/fin', 'COMP:uR', 'PF:who'}
yrittaa         ['LANG:FI']
yritta-         {'V', '-COMP:V', '!COMP:-ARG', '-SPEC:T/fin', 'PHI:GEN:_', 'SEM:internal', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', '-COMP:N', '-SPEC:FORCE', 'LANG:EN', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'LF:try', 'PF:yritta', 'PHI:DET:_', '-COMP:T', '!COMP:A/inf'}
mina            ['LANG:FI']
mina-           {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', 'LF:I', '-COMP:*', 'PHI_N', 'PF:mina', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', 'LANG:FI', '-SPEC:R', '-COMP:AUX', 'SPEC:A', '-COMP:P', '-SPEC:N', '-SPEC:FORCE', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR'}
sina            ['LANG:FI']
sina-           {'-COMP:V', 'LF:you', 'PF:sina', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', 'LANG:FI', '-SPEC:R', '-COMP:AUX', 'SPEC:A', '-COMP:P', '-SPEC:N', '-SPEC:FORCE', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR'}
han             ['LANG:FI']
han-            {'LF:s/he', '-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-COMP:*', 'PHI_N', 'PF:han', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', 'LANG:FI', '-SPEC:R', '-COMP:AUX', 'SPEC:A', '-COMP:P', '-SPEC:N', '-SPEC:FORCE', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR'}
me              ['LANG:FI']
