ï»¿dummy        {'dummy', 'LANG:FI'}
does-           {'!COMP:*', 'PHI:GEN:F', '-SPEC:T/fin', 'PHI:GEN:_', 'COMP:D', 'CAT:ARG', 'COMP:v', '!SPEC:D', 'FIN', 'COMP:T/prt', '!SPEC:*', 'LF:does', 'PHI:PER:_', 'PHI:NUM:SG', 'PHI:NUM:_', '-SPEC:C/fin', '-SPEC:V', '!PROBE:V', 'SPEC:D', 'COMP:V', '-SPEC:N', 'VAL', 'PHI:DET:_', 'SPEC:*', 'COMP:Neg', '-SPEC:v', 'T', '-SPEC:FORCE', 'PHI:GEN:M', 'LANG:EN', 'ARG', 'SPEC:TO/inf', 'PHI:PER:3', 'T/fin', 'PF:does'}
dorme           ['LANG:IT']
dorme-          {'V', '-COMP:V', '-SPEC:T/fin', '-VAL', 'CAT:ARG', '!SPEC:D', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:P', 'LANG:FI', '-COMP:N', '-SPEC:FORCE', 'ARG', 'LF:sleep', 'SPEC:TO/inf', 'SPEC:ADV', 'PF:dorme', 'PHI:DET:_', '-COMP:T'}
e               ['LANG:IT']
en              ['LANG:FI']
et              ['LANG:FI']
ei              ['LANG:FI']
emme            ['LANG:FI']
ette            ['LANG:FI']
eivat           ['LANG:FI']
e-              {'!COMP:*', '-SPEC:T/fin', 'SEM:internal', 'CAT:ARG', 'FIN', 'COMP:T/prt', '!SPEC:*', 'PHI:PER:_', 'Neg/fin', '%SPEC:INF', 'PHI:NUM:_', 'LANG:FI', '-SPEC:T', 'PHI:DET:_', 'SPEC:*', 'LF:neg', 'NEG', 'ARG', '-COMP:C/fin', 'POL:NEG', 'PF:ei', 'COMP:T', 'VAL'}
elaa            ['LANG:FI']
ela-            {'V', '-COMP:V', '-SPEC:T/fin', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', 'LF:live', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', 'LANG:FI', '-COMP:N', 'PF:elaa', '-COMP:D', '-SPEC:FORCE', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'CLASS:INTR', 'PHI:DET:_', '-COMP:T'}
etsii           ['LANG:FI']
etsi-           {'V', 'LF:search', '-COMP:V', 'PF:etsi', '-SPEC:T/fin', 'COMP:D', '!COMP:D', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:P', 'LANG:FI', '-COMP:N', '-SPEC:FORCE', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
etta            {'!COMP:*', 'LANG:FI', 'COMP:T/fin', '!PROBE:T/fin', '-VAL', '-SPEC:*', 'FORCE', 'FIN', 'PF:ettÃ¤', 'COMP:C/fin', '-ARG', 'LF:that'}
flow'           {'V', '-COMP:V', 'PF:flow', '-SPEC:T/fin', 'PHI:GEN:_', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', '-COMP:N', '-SPEC:FORCE', 'LANG:EN', 'ARG', 'LF:flow', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
from            {'LF:from', '-SPEC:iWH', 'P', '!COMP:*', '-SPEC:iR', '-SPEC:T/fin', '-COMP:ADV', 'PHI:GEN:_', '!COMP:D', '-SPEC:P', '-VAL', 'CAT:ARG', '-SPEC:*', '-SPEC:ADV', 'PHI:PER:_', '-COMP:T/fin', '+SEM:directional', 'PHI:NUM:_', '-SPEC:Neg/fin', '-SPEC:C/fin', 'TAIL:V,+SEM:directional', '-SPEC:V', '-COMP:N', '-SPEC:N', 'adjoinable', '-SPEC:v', '-SPEC:FORCE', '-COMP:uWH', '-SPEC:INF', 'PF:from', 'LANG:EN', 'ARG', 'PHI:DET:_'}
gave            ['LANG:EN']
give-           {'V', '-COMP:V', '!COMP:*', '-SPEC:T/fin', 'PHI:GEN:_', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'PF:give', '-COMP:FIN', 'COMP:P', 'CLASS:DITR', '-COMP:v', 'PHI:PER:_', '+SEM:directional', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', '-COMP:N', '-COMP:P', 'LF:give', '-SPEC:FORCE', 'LANG:EN', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
Giuseppe        ['LANG:IT']
Giuseppe-       {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', '-SPEC:P', '-SPEC:ADV', 'COMP:R/D', 'PF:Giuseppe', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', '-SEM:directional', '-SPEC:R', '-COMP:AUX', 'SPEC:A', '-COMP:P', '-SPEC:N', '-SPEC:FORCE', 'LANG:IT', '-COMP:D', '-SPEC:INF', 'LF:Giuseppe', '-COMP:C/fin', 'COMP:uR'}
haluaa          ['LANG:FI']
halusi          ['LANG:FI']
haluan          ['LANG:FI']
halua           ['LANG:FI']
haluamalla      ['LANG:FI']
halua-          {'V', '-COMP:V', '-SPEC:T/fin', 'LF:want', 'SEM:internal', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', 'PF:haluaa', 'LANG:FI', '-COMP:N', '-COMP:D', '-SPEC:FORCE', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'CLASS:INTR', 'PHI:DET:_', '-COMP:T'}
hairitsee       ['LANG:FI']
hairitse-       {'V', '-COMP:V', '-SPEC:T/fin', '!COMP:D', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', '-COMP:FIN', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', 'LANG:FI', '-COMP:N', 'PHI:DET:_', '-SPEC:FORCE', 'LF:disturb', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PF:hairitsee', '-COMP:T'}
hanno           ['LANG:IT']
ho              ['LANG:IT']
ha-             {'V', '-COMP:V', '-SPEC:T/fin', 'PHI:GEN:_', 'SEM:internal', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', '-COMP:N', '-SPEC:FORCE', 'LANG:IT', 'LF:have', '-ASP', 'ARG', 'SPEC:TO/inf', 'SPEC:ADV', 'PF:ha', 'COMP:T', 'PHI:DET:_'}
Helsingissa     ['LANG:FI']
Helsinki-       {'-COMP:V', 'COMP:R', '-SPEC:T/fin', '-COMP:ADV', 'PF:Helsinki', '-SPEC:P', 'LF:Helsinki', '-SPEC:ADV', 'COMP:R/D', '-SPEC:uWH', '-COMP:v', 'N', '-COMP:T/fin', '-COMP:A', '-SPEC:C/fin', '-SPEC:V', '-COMP:WH', '-COMP:N', 'LANG:FI', '-SPEC:R', '-COMP:AUX', 'SPEC:A', '-COMP:P', '-SPEC:N', '-SPEC:FORCE', '-COMP:D', '-SPEC:INF', '-COMP:C/fin', 'COMP:uR'}
ihailen         ['LANG:FI']
ihailet         ['LANG:FI']
ihailee         ['LANG:FI']
ihailemme       ['LANG:FI']
ihailette       ['LANG:FI']
ihailevat       ['LANG:FI']
ihailevansa     ['LANG:FI']
ihailemassa     ['LANG:FI']
ihailtua        ['LANG:FI']
ihaile          ['LANG:FI']
ihaillut        ['LANG:FI']
ihailla         ['LANG:FI']
ihailemalla     ['LANG:FI']
ihaile-         {'V', '-COMP:V', '!COMP:*', '-SPEC:T/fin', '!COMP:D', '-VAL', 'CAT:ARG', '-COMP:Neg/fin', 'PF:ihaile-', '-COMP:FIN', 'COMP:P', '-COMP:v', 'PHI:PER:_', 'ASP', 'PHI:NUM:_', 'SPEC:D', 'SPEC:P', 'LANG:FI', '-COMP:N', '-COMP:P', '-SPEC:FORCE', 'CLASS:TR', 'ARG', 'LF:admire', 'SPEC:TO/inf', 'SPEC:ADV', 'PHI:DET:_', '-COMP:T'}
is              ['LANG:EN']
