ï»¿dummy        {'dummy', 'LANG:EN'}
bank            {'-COMP:VA/inf', '-SPEC:P', 'COMP:P', '-COMP:C/fin', '-SPEC:ADV', '-COMP:A', '-SPEC:R', '-SPEC:INF', '-SPEC:C/fin', 'COMP:R/D', 'COMP:R', 'COMP:D/rel', 'SPEC:A', '-SPEC:FORCE', '-SPEC:T/fin', '-COMP:V', 'COMP:C', 'COMP:T/prt', '-COMP:WH', 'COMP:uR', 'FREQ:1', '-SPEC:uWH', '-COMP:v', 'PF:bank1', '-COMP:AUX', '-SPEC:V', 'LANG:EN', 'LF:bank_inst', '-COMP:N', '-SPEC:N', 'N'}
bank            {'-COMP:VA/inf', '-SPEC:P', 'COMP:P', '-COMP:C/fin', '-SPEC:ADV', '-COMP:A', '-SPEC:R', 'FREQ:2', '-SPEC:INF', '-SPEC:C/fin', 'COMP:R/D', 'COMP:R', 'COMP:D/rel', 'SPEC:A', '-SPEC:FORCE', '-SPEC:T/fin', 'PF:bank2', '-COMP:V', 'COMP:C', 'COMP:T/prt', '-COMP:WH', 'COMP:uR', 'LF:bank_river', '-SPEC:uWH', '-COMP:v', '-COMP:AUX', '-SPEC:V', 'LANG:EN', '-COMP:N', '-SPEC:N', 'N'}
barn            {'-COMP:VA/inf', '-SPEC:P', 'COMP:P', '-COMP:C/fin', '-SPEC:ADV', '-COMP:A', '-SPEC:R', '-SPEC:INF', '-SPEC:C/fin', 'COMP:R/D', 'COMP:R', 'COMP:D/rel', 'SPEC:A', '-SPEC:FORCE', '-SPEC:T/fin', '-COMP:V', 'COMP:C', 'COMP:T/prt', '-COMP:WH', 'COMP:uR', '-SPEC:uWH', '-COMP:v', '-COMP:AUX', '-SPEC:V', 'PF:barn', 'LANG:EN', '-COMP:N', '-SPEC:N', 'N', 'LF:barn'}
city            {'-COMP:VA/inf', '-SPEC:P', 'COMP:P', '-COMP:C/fin', '-SPEC:ADV', '-COMP:A', '-SPEC:R', '-SPEC:INF', 'LF:city', '-SPEC:C/fin', 'COMP:R/D', 'PF:city', 'COMP:R', 'COMP:D/rel', 'SPEC:A', '-SPEC:FORCE', '-SPEC:T/fin', '-COMP:V', 'COMP:C', 'COMP:T/prt', '-COMP:WH', 'COMP:uR', '-SPEC:uWH', '-COMP:v', '-COMP:AUX', '-SPEC:V', 'LANG:EN', '-COMP:N', '-SPEC:N', 'N'}
che             ['LANG:IT']
che-            {'-COMP:VA/inf', '-SPEC:P', '-SPEC:ADV', '-SPEC:INF', 'COMP:R/D', 'COMP:R', 'COMP:D/rel', '-COMP:V', '-SPEC:N', 'COMP:uR', '-SPEC:uWH', '-COMP:v', '-COMP:*', 'PHI_N', 'N', 'COMP:P', '-COMP:C/fin', '-COMP:A', '-SPEC:R', 'PF:che', '-SPEC:C/fin', 'SPEC:A', '-SPEC:FORCE', '-SPEC:T/fin', 'COMP:C', 'COMP:T/prt', '-COMP:WH', 'LANG:IT', '-COMP:AUX', '-SPEC:V', '-COMP:N', 'LF:who'}
chiamato        ['LANG:IT']
chiamata-       {'COMP:P', 'PHI:GEN:_', 'PHI:NUM:_', 'SPEC:ADV', 'V', '-SPEC:T/fin', '-SPEC:FORCE', 'PHI:PER:_', 'ARG', '-COMP:V', 'PHI:DET:_', 'LANG:IT', 'ASP', '-COMP:v', 'LF:called', '-VAL', 'PF:chiamato', 'SPEC:TO/inf', 'SPEC:P', '-COMP:N'}
claims          ['LANG:EN']
claim-          {'COMP:T/fin', 'COMP:P', 'PHI:GEN:_', 'SPEC:D', 'PHI:NUM:_', 'SPEC:ADV', 'V', '-SPEC:T/fin', '-SPEC:FORCE', 'PHI:PER:_', 'ARG', '-COMP:V', '-COMP:D', 'PHI:DET:_', 'LF:claim', 'ASP', '-COMP:v', '-VAL', 'LANG:EN', 'PF:claim', 'SPEC:TO/inf', 'SPEC:P', '-COMP:N'}
danno           {'-COMP:VA/inf', '-SPEC:P', 'COMP:P', '-COMP:C/fin', '-SPEC:ADV', '-COMP:A', '-SPEC:R', 'LF:damage', '-SPEC:INF', '-SPEC:C/fin', 'COMP:R/D', 'COMP:R', 'COMP:D/rel', 'SPEC:A', '-SPEC:FORCE', '-SPEC:T/fin', '-COMP:V', 'COMP:C', 'COMP:T/prt', 'PF:danno', 'COMP:uR', '-COMP:WH', 'LANG:IT', '-SPEC:uWH', '-COMP:v', '-COMP:AUX', '-SPEC:V', '-COMP:N', '-SPEC:N', 'N'}
del             ['LANG:IT']
della           ['LANG:IT']
detesto         ['LANG:IT']
detesto         ['LANG:IT']
detest-         {'SEM:internal', 'COMP:P', 'PHI:GEN:_', 'PHI:NUM:_', 'PF:detest', 'SPEC:ADV', 'LF:detest', 'V', '-SPEC:T/fin', '-SPEC:FORCE', 'PHI:PER:_', 'ARG', '-COMP:V', 'PHI:DET:_', 'COMP:D', 'LANG:IT', 'ASP', '-COMP:v', 'COMP:ARE/inf', '-VAL', 'SPEC:TO/inf', 'SPEC:P', '-COMP:N'}
devono          ['LANG:EN']
deva-           {'SEM:internal', 'COMP:P', 'PHI:GEN:_', 'LF:must', 'SPEC:D', 'PHI:NUM:_', 'SPEC:ADV', 'V', '-SPEC:T/fin', '-SPEC:FORCE', 'PHI:PER:_', 'ARG', '-COMP:V', 'PHI:DET:_', 'LANG:IT', '-COMP:v', 'PF:deva', 'COMP:ARE/inf', '-VAL', 'SPEC:TO/inf', 'SPEC:P', '-ASP', '-COMP:N'}
di              {'-SPEC:P', '-SPEC:ADV', '-SPEC:v', '-COMP:A', '-SPEC:C', 'SPEC:*', 'PHI:GEN:_', '-SPEC:INF', 'PHI:NUM:_', '-SPEC:C/fin', '-COMP:uWH', '-SPEC:iWH', '-SPEC:FORCE', '-SPEC:T/fin', 'PHI:PER:_', 'ARG', '-SPEC:Neg/fin', 'PF:di', '-COMP:T/fin', '!COMP:*', '-SPEC:iR', '-SPEC:N', 'PHI:DET:_', 'COMP:D', '-COMP:ADV', '-adjoinable', '-SPEC:V', '-VAL', 'LF:of', 'LANG:FI', '-COMP:N', 'P', '-COMP:T'}
