haluan          {'PHON', 'LANG:FI'}
halua           {'PHON', 'LANG:FI'}
haluamalla      {'PHON', 'LANG:FI'}
haluttiin       {'PHON', 'LANG:FI'}
haluttu         {'PHON', 'LANG:FI'}
halua-          {'ASP', '-COMP:N', '-SPEC:φ', '-SPEC:FORCE', 'PHI:GEN:_', 'PHI:PER:_', '-COMP:V', 'SEMCLASS_desired_event', 'PHI:NUM:_', '!COMP:*', 'ARG', '-COMP:pro', '-SPEC:D', 'SPEC:P', 'SPEC:A/inf', 'COMP:A/inf', 'LANG:FI', '-COMP:P', 'ASP:BOUNDED', 'COMP:φ', '-PHI', '-COMP:Adv', '-COMP:T/prt', 'SEM:internal', '-SPEC:T/fin', '-COMP:v', 'LF:want', 'CLASS/TR', 'SPEC:TO/inf', 'SPEC:Adv', 'V', 'PHI:DET:_', 'PHON', 'PF:halua-'}
häiritsee       {'PHON', 'LANG:FI'}
häiritse-       {'ASP', '-COMP:N', 'SPEC:φ', '-SPEC:FORCE', 'PHI:GEN:_', '-COMP:Fin', 'PHI:PER:_', '-COMP:V', 'PHI:NUM:_', '!COMP:*', 'ARG', 'SPEC:P', 'LANG:FI', 'COMP:φ', '-PHI', '-COMP:Adv', '-COMP:T/prt', '-SPEC:T/fin', 'PF:häiritse-', '-COMP:v', '!COMP:φ', 'LF:disturb', 'CLASS/TR', 'SPEC:TO/inf', 'SPEC:Adv', 'V', 'PHI:DET:_', 'PHON', '-COMP:P'}
hävisivät       {'PHON', 'LANG:FI'}
häviävän        {'PHON', 'LANG:FI'}
hävisi          {'PHON', 'LANG:FI'}
häviä-          {'ASP', '-COMP:N', 'LF:disappear', 'SPEC:φ', '-SPEC:FORCE', 'PHI:GEN:_', 'CLASS/INTR', 'PHI:PER:_', '-COMP:V', 'PHI:NUM:_', 'ARG', 'SPEC:P', 'LANG:FI', '-PHI', '-COMP:T/prt', '-SPEC:T/fin', 'PF:häviä-', '-COMP:v', 'PHI:DET:_', 'SPEC:TO/inf', 'SPEC:Adv', 'V', 'PHON', '-COMP:φ'}
Helsingissä     {'PHON', 'LANG:FI'}
Helsinki        {'PHON', 'LANG:FI'}
Helsinki        {'PHON', 'LANG:EN'}
Helsinki-       {'-COMP:Inf', '-COMP:Neg', '-SPEC:FORCE', '-COMP:A', '-COMP:V', '-COMP:WH', '-COMP:AUX', 'LANG:FI', '-SPEC:P', 'COMP:R/D', 'COMP:C', '-SPEC:T/fin', 'COMP:P', '-COMP:v', 'R:REF:PROPER_NAME', 'N', 'COMP:R', '-SPEC:R', 'SPEC:A', '-COMP:φ', 'COMP:VA/inf', '-COMP:N', '-SPEC:Adv', 'SPEC:φ', '-COMP:MA/A', '-SPEC:C/fin', 'COMP:D/rel', '-COMP:T/fin', '-SPEC:N', '-SPEC:uWH', 'PF:Helsinki', '-COMP:T/prt', 'COMP:uR', '-SPEC:V', '-COMP:D', 'PHON', 'LF:Helsinki'}
ihailen         {'PHON', 'LANG:FI'}
ihaili          {'PHON', 'LANG:FI'}
ihailet         {'PHON', 'LANG:FI'}
ihailee         {'PHON', 'LANG:FI'}
ihailee*        {'PHON', 'LANG:FI'}
ihailemme       {'PHON', 'LANG:FI'}
ihailette       {'PHON', 'LANG:FI'}
ihailevat       {'PHON', 'LANG:FI'}
ihailevan       {'PHON', 'LANG:FI'}
ihailevansa     {'PHON', 'LANG:FI'}
ihailemassa     {'PHON', 'LANG:FI'}
ihailtua        {'PHON', 'LANG:FI'}
ihaile          {'PHON', 'LANG:FI'}
ihaillut        {'PHON', 'LANG:FI'}
ihailla         {'PHON', 'LANG:FI'}
ihailemalla     {'PHON', 'LANG:FI'}
ihaileva        {'PHON', 'LANG:FI'}
ihaile-         {'ASP', '-COMP:N', 'SPEC:φ', '-SPEC:FORCE', 'PHI:GEN:_', '-COMP:Fin', 'PHI:PER:_', '-COMP:V', 'LF:admire', 'PHI:NUM:_', '!COMP:*', 'ARG', 'SPEC:P', 'LANG:FI', 'COMP:φ', '-PHI', 'PF:ihaile-', '-COMP:Adv', '-COMP:T/prt', '-SPEC:T/fin', '-COMP:v', '!COMP:φ', 'CLASS/TR', 'SPEC:TO/inf', 'SPEC:Adv', 'V', 'PHI:DET:_', 'PHON', '-COMP:P'}
istuuko         {'PHON', 'LANG:FI'}
istuu           {'PHON', 'LANG:FI'}
istu-           {'ASP', '-COMP:N', 'SPEC:φ', '-SPEC:FORCE', 'PHI:GEN:_', 'CLASS/INTR', 'PHI:PER:_', '-COMP:V', 'PHI:NUM:_', 'ARG', 'SPEC:P', 'LANG:FI', 'LF:sit', '-PHI', '-COMP:T/prt', '-SPEC:T/fin', 'PF:istu-', '-COMP:v', 'PHI:DET:_', 'SPEC:TO/inf', 'SPEC:Adv', 'V', 'PHON', '-COMP:φ'}
joka            {'PHON', 'LANG:FI'}
jota            {'PHON', 'LANG:FI'}
jonka           {'PHON', 'LANG:FI'}
joka-           {'-COMP:Neg', '-SPEC:FORCE', '-COMP:A', '-COMP:V', '-COMP:WH', '-COMP:AUX', 'LANG:FI', 'COMP:R/D', 'COMP:C', '-SPEC:T/fin', 'COMP:P', '-COMP:v', 'N', 'COMP:R', '-SPEC:R', 'SPEC:A', '-COMP:φ', 'COMP:VA/inf', '-COMP:N', '-SPEC:Adv', 'PHI_N', 'SPEC:φ', '-COMP:MA/A', '-SPEC:C/fin', 'COMP:D/rel', '-COMP:T/fin', 'PF:joka', '-SPEC:N', '-SPEC:uWH', '-COMP:T/prt', 'LF:who', 'COMP:uR', '-COMP:*', '-SPEC:V', '-COMP:D', 'PHON', '-SPEC:P'}
Jukka           {'-SEM:directional', 'PHON', 'LANG:FI'}
Jukkaa          {'-SEM:directional', 'PHON', 'LANG:FI'}
Jukka-          {'LF:Jukka', '-COMP:Inf', '-COMP:Neg', '-SPEC:FORCE', '-COMP:A', '-COMP:V', '-COMP:WH', '-COMP:AUX', 'LANG:FI', 'COMP:R/D', 'COMP:C', '-SEM:directional', '-SPEC:T/fin', 'COMP:P', '-COMP:v', 'R:REF:PROPER_NAME', 'N', 'COMP:R', '-SPEC:R', 'SPEC:A', '-COMP:φ', 'COMP:VA/inf', '-COMP:N', '-SPEC:Adv', 'SPEC:φ', '-COMP:MA/A', '-SPEC:C/fin', 'COMP:D/rel', '-COMP:T/fin', '-SPEC:N', '-SPEC:uWH', 'PF:Jukka', '-COMP:T/prt', 'COMP:uR', '-SPEC:V', '-COMP:D', 'PHON', '-SPEC:P'}
juosten         {'PHON', 'LANG:FI'}
juoksee         {'PHON', 'LANG:FI'}
juokse-         {'ASP', '-COMP:N', 'SPEC:φ', '-SPEC:FORCE', 'PHI:GEN:_', 'CLASS/INTR', 'PHI:PER:_', '-COMP:V', 'PHI:NUM:_', 'ARG', 'SPEC:P', 'LANG:FI', '-PHI', '-COMP:T/prt', '-SPEC:T/fin', '-COMP:v', 'LF:run', 'PHI:DET:_', 'SPEC:TO/inf', 'SPEC:Adv', 'V', 'PHON', '-COMP:φ', 'PF:juokse-'}
kaksi           {'COMP:N', 'PHI:GEN:_', 'Num', '-VAL', 'PHI:PER:_', 'PHI:NUM:_', '!COMP:*', 'LF:two', 'ARG', 'LANG:FI', '-PHI', 'COMP:φ', '-COMP:QN', 'NOM', 'PHI:NUM:SG', '-COMP:D', 'TAIL:ARG,E,Fin', 'PHI:DET:_', 'PF:kaksi', 'COMP:n', 'PHON', 'φ'}
kaksi           {'COMP:N', 'PHI:GEN:_', 'Num', 'PHI:PER:_', 'PHI:NUM:_', 'TAIL:ARG,ASP:BOUNDED', '!COMP:*', 'TAIL:*POL:NEG', 'LANG:EN', 'LF:two', 'ARG', '-E', '-float', '-PHI', 'COMP:φ', '-COMP:QN', 'ACC', '-adjoinable', '-COMP:D', 'PHI:DET:_', 'PF:kaksi', 'COMP:n', 'PHON', 'φ'}
kaksi_1         {'COMP:N', 'PHI:GEN:_', 'Num', '-VAL', 'PHI:PER:_', 'PHI:NUM:_', '!COMP:*', 'LF:two', 'ARG', 'LANG:FI', '-PHI', 'COMP:φ', '-COMP:QN', 'NOM', 'PHI:NUM:SG', '-COMP:D', 'TAIL:ARG,E,Fin', 'PHI:DET:_', 'PF:kaksi', 'COMP:n', 'PHON', 'φ'}
kaksi_2         {'COMP:N', 'PHI:GEN:_', 'Num', 'PHI:PER:_', 'PHI:NUM:_', 'TAIL:ARG,ASP:BOUNDED', '!COMP:*', 'TAIL:*POL:NEG', 'LANG:EN', 'LF:two', 'ARG', '-E', '-float', '-PHI', 'COMP:φ', '-COMP:QN', 'ACC', '-adjoinable', '-COMP:D', 'PHI:DET:_', 'PF:kaksi', 'COMP:n', 'PHON', 'φ'}
kahdet          {'PHON', 'LANG:FI'}
kahden          {'PHON', 'LANG:FI'}
kaksi-          {'COMP:N', 'COMP:φ', 'Num', '-COMP:QN', 'φ', '-COMP:D', 'LF:two', 'PF:kaksi', 'COMP:n', 'PHON', 'LANG:FI'}
kaupunkia       {'PHON', 'LANG:EN'}
kaupunki        {'PHON', 'LANG:EN'}
kaupunki-       {'-COMP:Neg', '-SPEC:FORCE', '-COMP:A', '-COMP:V', '-COMP:WH', '-COMP:AUX', 'LANG:FI', '-SPEC:P', 'COMP:R/D', 'LF:city', 'COMP:C', '-SPEC:T/fin', '-COMP:v', 'N', 'COMP:R', '-SPEC:R', 'SPEC:A', '-COMP:φ', 'COMP:VA/inf', '-COMP:N', '-SPEC:Adv', 'SPEC:φ', '-COMP:MA/A', '-SPEC:C/fin', 'COMP:D/rel', '-COMP:T/fin', 'PF:kaupunki-', '-SPEC:N', '-SPEC:uWH', '-COMP:T/prt', 'COMP:uR', '-SPEC:V', '-COMP:D', 'PHON', '-COMP:P'}
käski           {'PHON', 'LANG:FI'}
käskee          {'PHON', 'LANG:FI'}
käskee          {'PHON', 'LANG:FI'}
käske-          {'ASP', '-COMP:N', '-SPEC:FORCE', 'PHI:GEN:_', 'PHI:PER:_', '-COMP:V', 'SEMCLASS_desired_event', 'PHI:NUM:_', '!COMP:*', 'SEM:external', 'ARG', 'SPEC:P', 'LANG:FI', 'SPEC:TO/inf', 'COMP:φ', '-PHI', '-COMP:Adv', 'LF:order', 'PF:käske-', '-COMP:T/prt', '-SPEC:T/fin', '-COMP:v', '!COMP:SEM/desired_event', 'CLASS/TR', 'SPEC:Adv', 'V', 'PHI:DET:_', 'PHON', '-COMP:P'}
kellon          {'PHON', 'LANG:EN'}
kellon          {'PHON', 'LANG:FI'}
kellon_n        {'PHON', 'LANG:EN'}
kellon_N        {'PHON', 'LANG:FI'}
kelloja         {'PHON', 'LANG:EN'}
kello           {'PHON', 'LANG:FI'}
kello-          {'-COMP:Neg', '-SPEC:FORCE', '-COMP:A', '-COMP:V', '-COMP:WH', '-COMP:AUX', 'LANG:FI', 'COMP:R/D', 'COMP:C', '-SPEC:T/fin', 'COMP:P', '-COMP:v', 'PF:kello', 'N', 'LF:watch', 'COMP:R', '-SPEC:R', 'SPEC:A', '-COMP:φ', 'COMP:VA/inf', '-COMP:N', '-SPEC:Adv', 'SPEC:φ', '-COMP:MA/A', '-SPEC:C/fin', 'COMP:D/rel', '-COMP:T/fin', '-SPEC:N', '-SPEC:uWH', '-COMP:T/prt', 'COMP:uR', '-SPEC:V', '-COMP:D', 'PHON', '-SPEC:P'}
kello0-         {'SPEC:φ', '0', 'PF:kello', 'LF:watch', 'PHON', '-COMP:φ', 'LANG:FI', '2SPEC'}
kenen           {'PHON', 'LANG:FI'}
kenen           {'PHON', 'LANG:FI'}
kirja           {'PHON', 'LANG:FI'}
kirja_0acc      {'PHON', 'LANG:FI'}
kirjan          {'PHON', 'LANG:FI'}
kirjan_gen      {'PHON', 'LANG:FI'}
kirjaa          {'PHON', 'LANG:FI'}
kirja-          {'-COMP:Neg', '-SPEC:FORCE', '-COMP:A', '-COMP:V', '-COMP:WH', '-COMP:AUX', 'LANG:FI', 'COMP:R/D', 'COMP:C', '-SEM:directional', '-SPEC:T/fin', 'COMP:P', '-COMP:v', 'N', 'COMP:R', '-SPEC:R', 'SPEC:A', '-COMP:φ', 'PF:kirja', 'COMP:VA/inf', '-COMP:N', '-SPEC:Adv', 'SPEC:φ', 'LF:book', '-COMP:MA/A', '-SPEC:C/fin', 'COMP:D/rel', '-COMP:T/fin', '-SPEC:N', '-SPEC:uWH', '-COMP:T/prt', 'COMP:uR', '-SPEC:V', '-COMP:D', 'PHON', '-SPEC:P'}
kohti           {'P', '-SPEC:FORCE', '-COMP:Neg', 'PHI:GEN:_', '-COMP:A', 'PHI:PER:_', '-COMP:uWH', 'LF:towards', 'LANG:FI', '-SPEC:Neg', '-PHI', '-SPEC:T/prt', '-SPEC:T/fin', '-SPEC:Neg/fin', 'PF:kohti', '-SPEC:v', '-COMP:N', '-SPEC:Adv', '-COMP:MA/A', '-SPEC:C/fin', 'Adv', 'PHI:NUM:_', '-COMP:T/fin', 'ARG', 'TAIL:V', '-SPEC:C', '-SPEC:N', '-SPEC:iWH', '-COMP:T', 'COMP:φ', '-COMP:Adv', '-SPEC:iR', 'EF:*', '-SPEC:V', '!COMP:φ', 'PHI:DET:_', 'adjoinable', 'PHON', '-SPEC:P'}
kohti'          {'P', '-SPEC:FORCE', '-COMP:Neg', 'PHI:GEN:_', '-COMP:A', 'PHI:PER:_', '-COMP:uWH', 'LF:towards', 'LANG:FI', '-SPEC:Neg', '-PHI', '-SPEC:T/prt', '-SPEC:T/fin', '-SPEC:Neg/fin', 'PF:kohti', '-SPEC:v', '-COMP:N', '-SPEC:Adv', '-COMP:MA/A', '-SPEC:C/fin', 'Adv', 'PHI:NUM:_', '-COMP:T/fin', 'ARG', '-SPEC:C', '-SPEC:N', '-SPEC:iWH', '-COMP:T', 'COMP:φ', '-COMP:Adv', '-SPEC:iR', 'EF:*', '-SPEC:V', '!COMP:φ', 'PHI:DET:_', 'adjoinable', 'PHON', '-SPEC:P'}
koko            {'COMP:N', '-COMP:V', '!COMP:*', '-COMP:T/fin', '-SPEC:MA.ade/inf', 'LF:all', '-SPEC:C', 'LANG:FI', '-SPEC:P', 'PF:koko', '-SPEC:Neg', 'COMP:φ', '-COMP:uR', 'TAIL:T', '-ARG', '-SPEC:Inf', '-SPEC:T/fin', '-COMP:v', '-SPEC:V', '-COMP:D', '-SPEC:Neg/fin', '!PROBE:N', 'adjoinable', 'COMP:n', 'D', 'PHON', 'φ', '-COMP:P'}
ketä            {'PHON', 'LANG:FI'}
kuka            {'PHON', 'LANG:FI'}
KUKA            {'PHON', 'LANG:FI'}
kuka-           {'-COMP:Neg', '-SPEC:FORCE', '-COMP:A', '-COMP:V', '-COMP:WH', 'PF:kuka', '-COMP:AUX', 'LANG:FI', 'COMP:R/D', 'COMP:C', '-SPEC:T/fin', 'COMP:P', '-COMP:v', 'N', 'COMP:R', '-SPEC:R', 'SPEC:A', '-COMP:φ', 'COMP:VA/inf', '-COMP:N', '-SPEC:Adv', 'SPEC:φ', '-COMP:MA/A', '-SPEC:C/fin', 'COMP:D/rel', 'PHI', '-COMP:T/fin', '-SPEC:N', '-SPEC:uWH', '-COMP:T/prt', 'LF:who', 'COMP:uR', '-SPEC:V', '-COMP:D', 'PHON', '-SPEC:P'}
kuorsaa         {'PHON', 'LANG:FI'}
kuorsaamalla    {'PHON', 'LANG:FI'}
