haluan          {'PHON', 'LANG:FI'}
halua           {'PHON', 'LANG:FI'}
haluamalla      {'PHON', 'LANG:FI'}
haluttiin       {'PHON', 'LANG:FI'}
haluttu         {'PHON', 'LANG:FI'}
halua-          {'SPEC:A/inf', '!COMP:*', 'PHI:GEN:_', 'PHI:PER:_', 'PHI:DET:_', '-SPEC:D', 'SPEC:TO/inf', 'COMP:φ', '-COMP:pro', 'V', '-COMP:T/prt', 'SEMCLASS_desired_event', '-COMP:N', 'SEM:internal', '-PHI', '-SPEC:FORCE', 'CLASS/TR', '-COMP:v', 'LANG:FI', 'LF:want', '-COMP:V', 'SPEC:ADV', '-SPEC:T/fin', 'PHI:NUM:_', 'ASP:BOUNDED', 'SPEC:P', 'ASP', '-SPEC:φ', '-COMP:ADV', '-COMP:P', 'ARG', 'COMP:A/inf', 'PF:halua-', 'PHON'}
häiritsee       {'PHON', 'LANG:FI'}
häiritse-       {'PF:häiritse-', '!COMP:*', 'PHI:GEN:_', 'PHI:PER:_', 'PHI:DET:_', 'SPEC:TO/inf', '!COMP:φ', 'COMP:φ', '-COMP:FIN', 'V', '-COMP:T/prt', '-COMP:N', 'SPEC:φ', '-PHI', '-SPEC:FORCE', 'CLASS/TR', '-COMP:v', 'LANG:FI', '-COMP:V', 'SPEC:ADV', '-SPEC:T/fin', 'PHI:NUM:_', 'SPEC:P', 'ASP', '-COMP:ADV', '-COMP:P', 'ARG', 'PHON', 'LF:disturb'}
hävisivät       {'PHON', 'LANG:FI'}
häviävän        {'PHON', 'LANG:FI'}
hävisi          {'PHON', 'LANG:FI'}
häviä-          {'PHI:GEN:_', 'PHI:PER:_', 'CLASS/INTR', 'PHI:DET:_', 'SPEC:TO/inf', '-COMP:φ', 'V', '-COMP:T/prt', '-COMP:N', 'PF:häviä-', 'SPEC:φ', '-PHI', '-SPEC:FORCE', '-COMP:v', 'LANG:FI', '-COMP:V', 'LF:disappear', 'SPEC:ADV', '-SPEC:T/fin', 'PHI:NUM:_', 'SPEC:P', 'ASP', 'ARG', 'PHON'}
Helsingissä     {'PHON', 'LANG:FI'}
Helsinki        {'PHON', 'LANG:FI'}
Helsinki        {'PHON', 'LANG:EN'}
Helsinki-       {'-SPEC:N', '-COMP:φ', 'COMP:P', 'COMP:R/D', 'COMP:D/rel', 'LANG:FI', '-SPEC:V', '-SPEC:T/fin', '-COMP:T/fin', 'SPEC:A', 'LF:Helsinki', '-SPEC:P', 'PHON', '-COMP:INF', 'R:REF:PROPER_NAME', '-COMP:A', 'COMP:C', '-COMP:WH', 'PF:Helsinki', 'COMP:uR', '-SPEC:R', '-COMP:T/prt', '-COMP:N', 'COMP:VA/inf', '-SPEC:FORCE', '-COMP:v', '-SPEC:C/fin', '-COMP:V', '-SPEC:ADV', '-COMP:D', '-COMP:AUX', '-SPEC:uWH', '-COMP:MA/A', '-COMP:Neg', 'N', 'SPEC:φ', 'COMP:R'}
ihailen         {'PHON', 'LANG:FI'}
ihaili          {'PHON', 'LANG:FI'}
ihailet         {'PHON', 'LANG:FI'}
ihailee         {'PHON', 'LANG:FI'}
ihailemme       {'PHON', 'LANG:FI'}
ihailette       {'PHON', 'LANG:FI'}
ihailevat       {'PHON', 'LANG:FI'}
ihailevan       {'PHON', 'LANG:FI'}
ihailevansa     {'PHON', 'LANG:FI'}
ihailemassa     {'PHON', 'LANG:FI'}
ihailtua        {'PHON', 'LANG:FI'}
ihaile          {'PHON', 'LANG:FI'}
ihaillut        {'PHON', 'LANG:FI'}
ihailla         {'PHON', 'LANG:FI'}
ihailemalla     {'PHON', 'LANG:FI'}
ihaile-         {'!COMP:*', 'PHI:GEN:_', 'PHI:PER:_', 'PHI:DET:_', 'SPEC:TO/inf', '!COMP:φ', 'COMP:φ', '-COMP:FIN', 'LF:admire', 'V', '-COMP:T/prt', '-COMP:N', 'PF:ihaile-', 'SPEC:φ', '-PHI', '-SPEC:FORCE', 'CLASS/TR', '-COMP:v', 'LANG:FI', '-COMP:V', 'SPEC:ADV', '-SPEC:T/fin', 'PHI:NUM:_', 'SPEC:P', 'ASP', '-COMP:ADV', '-COMP:P', 'ARG', 'PHON'}
istuuko         {'PHON', 'LANG:FI'}
istuu           {'PHON', 'LANG:FI'}
istu-           {'PHI:GEN:_', 'PHI:PER:_', 'CLASS/INTR', 'PHI:DET:_', 'SPEC:TO/inf', '-COMP:φ', 'V', '-COMP:T/prt', '-COMP:N', 'SPEC:φ', '-PHI', '-SPEC:FORCE', '-COMP:v', 'LANG:FI', '-COMP:V', 'SPEC:ADV', '-SPEC:T/fin', 'PHI:NUM:_', 'LF:sit', 'SPEC:P', 'ASP', 'PF:istuu', 'ARG', 'PHON'}
joka            {'PHON', 'LANG:FI'}
jota            {'PHON', 'LANG:FI'}
jonka           {'PHON', 'LANG:FI'}
joka-           {'-SPEC:N', 'PF:joka', 'LF:who', '-COMP:φ', '-COMP:*', 'COMP:P', 'COMP:R/D', 'COMP:D/rel', 'LANG:FI', '-SPEC:V', '-SPEC:T/fin', '-COMP:T/fin', 'SPEC:A', '-SPEC:P', 'PHON', 'PHI_N', '-COMP:A', 'COMP:C', '-COMP:WH', 'COMP:uR', '-SPEC:R', '-COMP:T/prt', '-COMP:N', 'COMP:VA/inf', '-SPEC:FORCE', '-COMP:v', '-SPEC:C/fin', '-COMP:V', '-SPEC:ADV', '-COMP:D', '-COMP:AUX', '-SPEC:uWH', '-COMP:MA/A', '-COMP:Neg', 'N', 'SPEC:φ', 'COMP:R'}
Jukka           {'-SEM:directional', 'PHON', 'LANG:FI'}
Jukkaa          {'-SEM:directional', 'PHON', 'LANG:FI'}
Jukka-          {'-SPEC:N', 'PF:Jukka', '-COMP:φ', 'COMP:P', 'COMP:R/D', 'COMP:D/rel', 'LANG:FI', '-SPEC:V', '-SPEC:T/fin', '-COMP:T/fin', 'SPEC:A', '-SEM:directional', '-SPEC:P', 'PHON', '-COMP:INF', 'R:REF:PROPER_NAME', '-COMP:A', 'COMP:C', '-COMP:WH', 'COMP:uR', '-SPEC:R', '-COMP:T/prt', '-COMP:N', 'COMP:VA/inf', '-SPEC:FORCE', '-COMP:v', '-SPEC:C/fin', '-COMP:V', '-SPEC:ADV', '-COMP:D', '-COMP:AUX', 'LF:Jukka', '-SPEC:uWH', '-COMP:MA/A', '-COMP:Neg', 'N', 'SPEC:φ', 'COMP:R'}
juosten         {'PHON', 'LANG:FI'}
juoksee         {'PHON', 'LANG:FI'}
juokse-         {'PHI:GEN:_', 'PHI:PER:_', 'CLASS/INTR', 'PHI:DET:_', 'SPEC:TO/inf', '-COMP:φ', 'V', '-COMP:T/prt', '-COMP:N', 'LF:run', 'SPEC:φ', '-PHI', '-SPEC:FORCE', '-COMP:v', 'LANG:FI', '-COMP:V', 'SPEC:ADV', '-SPEC:T/fin', 'PHI:NUM:_', 'SPEC:P', 'ASP', 'ARG', 'PF:juokse-', 'PHON'}
kaksi           {'NUM', '!COMP:*', 'PHI:GEN:_', 'PHI:PER:_', 'PHI:DET:_', 'COMP:φ', 'LF:two', 'COMP:n', '-PHI', 'φ', 'LANG:FI', '-COMP:D', 'PHI:NUM:_', 'NOM', 'ARG', 'PF:kaksi', '-COMP:QN', 'TAIL:ARG,E,FIN,$NO_S', 'PHON', 'PHI:NUM:SG', '-VAL', 'COMP:N'}
kaksi           {'NUM', '!COMP:*', '-E', 'COMP:N', 'PHI:GEN:_', 'PHI:PER:_', 'PHI:DET:_', 'COMP:φ', 'LF:two', 'TAIL:*POL:NEG', 'COMP:n', '-PHI', 'φ', '-COMP:D', 'PHI:NUM:_', '-adjoinable', 'ACC', 'ARG', 'PF:kaksi', '-COMP:QN', 'LANG:EN', 'PHON', '-float', 'TAIL:ARG,ASP:BOUNDED,$NO_S'}
kaksi_1         {'NUM', '!COMP:*', 'PHI:GEN:_', 'PHI:PER:_', 'PHI:DET:_', 'COMP:φ', 'LF:two', 'COMP:n', '-PHI', 'φ', 'LANG:FI', '-COMP:D', 'PHI:NUM:_', 'NOM', 'ARG', 'PF:kaksi', '-COMP:QN', 'TAIL:ARG,E,FIN,$NO_S', 'PHON', 'PHI:NUM:SG', '-VAL', 'COMP:N'}
kaksi_2         {'NUM', '!COMP:*', '-E', 'COMP:N', 'PHI:GEN:_', 'PHI:PER:_', 'PHI:DET:_', 'COMP:φ', 'LF:two', 'TAIL:*POL:NEG', 'COMP:n', '-PHI', 'φ', '-COMP:D', 'PHI:NUM:_', '-adjoinable', 'ACC', 'ARG', 'PF:kaksi', '-COMP:QN', 'LANG:EN', 'PHON', '-float', 'TAIL:ARG,ASP:BOUNDED,$NO_S'}
kahdet          {'PHON', 'LANG:FI'}
kahden          {'PHON', 'LANG:FI'}
kaksi-          {'NUM', 'φ', 'LANG:FI', '-COMP:D', 'PF:kaksi-', '-COMP:QN', 'COMP:φ', 'LF:two', 'COMP:n', 'PHON', 'COMP:N'}
kaupunkia       {'PHON', 'LANG:EN'}
kaupunki        {'PHON', 'LANG:EN'}
kaupunki-       {'-SPEC:N', '-COMP:φ', 'PF:kaupunki', 'COMP:R/D', 'COMP:D/rel', 'LANG:FI', '-SPEC:V', '-SPEC:T/fin', '-COMP:T/fin', 'SPEC:A', '-SPEC:P', 'PHON', '-COMP:A', 'COMP:C', '-COMP:WH', 'COMP:uR', '-SPEC:R', '-COMP:T/prt', '-COMP:N', 'COMP:VA/inf', '-SPEC:FORCE', '-COMP:v', '-SPEC:C/fin', '-COMP:V', '-SPEC:ADV', '-COMP:D', '-COMP:AUX', '-COMP:P', 'LF:city', '-SPEC:uWH', '-COMP:MA/A', '-COMP:Neg', 'N', 'SPEC:φ', 'COMP:R'}
käski           {'PHON', 'LANG:FI'}
käski           {'PHON', 'LANG:FI'}
käskee          {'PHON', 'LANG:FI'}
käskee          {'PHON', 'LANG:FI'}
käske-          {'!COMP:*', 'PF:käske-', 'PHI:GEN:_', 'PHI:PER:_', 'PHI:DET:_', 'SPEC:TO/inf', 'COMP:φ', 'V', '-COMP:T/prt', 'SEMCLASS_desired_event', 'SEM:external', '-COMP:N', '-PHI', '-SPEC:FORCE', 'CLASS/TR', '!COMP:SEM/desired_event', 'LF:order', 'LANG:FI', '-COMP:v', '-COMP:V', 'SPEC:ADV', '-SPEC:T/fin', 'SPEC:P', 'ASP', '-COMP:ADV', '-COMP:P', 'PHI:NUM:_', 'ARG', 'PHON'}
kellon          {'PHON', 'LANG:EN'}
kellon          {'PHON', 'LANG:FI'}
kellon_n        {'PHON', 'LANG:EN'}
kellon_N        {'PHON', 'LANG:FI'}
kelloja         {'PHON', 'LANG:EN'}
kello           {'PHON', 'LANG:FI'}
kello-          {'-SPEC:N', '-COMP:φ', 'COMP:P', 'COMP:R/D', 'COMP:D/rel', 'LANG:FI', '-SPEC:V', '-SPEC:T/fin', '-COMP:T/fin', 'SPEC:A', '-SPEC:P', 'PHON', '-COMP:A', 'COMP:C', '-COMP:WH', 'COMP:uR', '-SPEC:R', 'LF:watch', '-COMP:T/prt', '-COMP:N', 'COMP:VA/inf', '-SPEC:FORCE', '-COMP:v', '-SPEC:C/fin', '-COMP:V', '-SPEC:ADV', '-COMP:D', '-COMP:AUX', '-SPEC:uWH', 'PF:kello', '-COMP:MA/A', '-COMP:Neg', 'N', 'SPEC:φ', 'COMP:R'}
kello0-         {'SPEC:φ', 'LANG:FI', '0', '-COMP:φ', 'LF:watch', 'PF:kello', '2SPEC', 'PHON'}
kenen           {'PHON', 'LANG:FI'}
kenen           {'PHON', 'LANG:FI'}
kirja           {'PHON', 'LANG:FI'}
kirja_0acc      {'PHON', 'LANG:FI'}
kirjan          {'PHON', 'LANG:FI'}
kirjan_gen      {'PHON', 'LANG:FI'}
kirjaa          {'PHON', 'LANG:FI'}
kirja-          {'-SPEC:N', '-COMP:φ', 'COMP:P', 'PF:kirja', 'COMP:R/D', 'COMP:D/rel', 'LANG:FI', '-SPEC:V', '-SPEC:T/fin', '-COMP:T/fin', 'SPEC:A', 'LF:book', '-SEM:directional', '-SPEC:P', 'PHON', '-COMP:A', 'COMP:C', '-COMP:WH', 'COMP:uR', '-SPEC:R', '-COMP:T/prt', '-COMP:N', 'COMP:VA/inf', '-SPEC:FORCE', '-COMP:v', '-SPEC:C/fin', '-COMP:V', '-SPEC:ADV', '-COMP:D', '-COMP:AUX', '-SPEC:uWH', '-COMP:MA/A', '-COMP:Neg', 'N', 'SPEC:φ', 'COMP:R'}
kohti           {'-SPEC:N', '-SPEC:iWH', 'EF:*', '-SPEC:C', 'adjoinable', 'ADV', 'LANG:FI', '-SPEC:V', '-SPEC:T/fin', 'PHI:NUM:_', '-SPEC:Neg', '-COMP:ADV', '-COMP:T/fin', 'ARG', 'PF:kohti', '-SPEC:T/prt', '-SPEC:P', 'PHON', '-SPEC:Neg/fin', 'LF:towards', '-COMP:T', '-COMP:A', 'PHI:PER:_', 'PHI:DET:_', '-SPEC:iR', '-SPEC:v', '!COMP:φ', 'PHI:GEN:_', 'COMP:φ', 'P', '-COMP:uWH', '-COMP:N', '-PHI', '-SPEC:FORCE', '-SPEC:ADV', '-SPEC:C/fin', 'TAIL:V', '-COMP:MA/A', '-COMP:Neg'}
kohti'          {'-SPEC:N', '-SPEC:iWH', 'EF:*', '-SPEC:C', 'adjoinable', 'ADV', 'LANG:FI', '-SPEC:V', '-SPEC:T/fin', 'PHI:NUM:_', '-SPEC:Neg', '-COMP:ADV', '-COMP:T/fin', 'ARG', 'PF:kohti', '-SPEC:T/prt', '-SPEC:P', 'PHON', '-SPEC:Neg/fin', 'LF:towards', '-COMP:T', '-COMP:A', 'PHI:PER:_', 'PHI:DET:_', '-SPEC:iR', '-SPEC:v', '!COMP:φ', 'PHI:GEN:_', 'COMP:φ', 'P', '-COMP:uWH', '-COMP:N', '-PHI', '-SPEC:FORCE', '-SPEC:ADV', '-SPEC:C/fin', '-COMP:MA/A', '-COMP:Neg'}
koko            {'-SPEC:Neg/fin', '!COMP:*', 'LF:all', 'COMP:φ', '-SPEC:C', 'adjoinable', 'TAIL:T,$NO_S', '-ARG', 'COMP:n', '-SPEC:INF', 'φ', 'LANG:FI', 'PF:koko', '-SPEC:MA/lla', '-SPEC:V', '-COMP:D', '-SPEC:T/fin', '-COMP:P', '-SPEC:Neg', '-COMP:T/fin', '-COMP:uR', 'D', '!PROBE:N', '-SPEC:P', 'PHON', 'COMP:N'}
ketä            {'PHON', 'LANG:FI'}
kuka            {'PHON', 'LANG:FI'}
KUKA            {'PHON', 'LANG:FI'}
kuka-           {'-SPEC:N', 'LF:who', '-COMP:φ', 'COMP:P', 'COMP:R/D', 'COMP:D/rel', 'LANG:FI', '-SPEC:V', 'PF:kuka', '-SPEC:T/fin', 'PHI', '-COMP:T/fin', 'SPEC:A', '-SPEC:P', 'PHON', '-COMP:A', 'COMP:C', '-COMP:WH', 'COMP:uR', '-SPEC:R', '-COMP:T/prt', '-COMP:N', 'COMP:VA/inf', '-SPEC:FORCE', '-COMP:v', '-SPEC:C/fin', '-COMP:V', '-SPEC:ADV', '-COMP:D', '-COMP:AUX', '-SPEC:uWH', '-COMP:MA/A', '-COMP:Neg', 'N', 'SPEC:φ', 'COMP:R'}
kuorsaa         {'PHON', 'LANG:FI'}
kuorsaamalla    {'PHON', 'LANG:FI'}
